r,t,f,y,ProductionByTechnologyAnnual
Region1,DEMAGRELC,AGRELC,2014,0.1828
Region1,DEMAGRELC,AGRELC,2015,0.0856
Region1,DEMAGRELC,AGRELC,2016,0.2211
Region1,DEMAGRELC,AGRELC,2017,0.2363
Region1,DEMAGRELC,AGRELC,2018,0.2173
Region1,DEMAGRELC,AGRELC,2019,0.2153
Region1,DEMAGRELC,AGRELC,2020,0.2132
Region1,DEMAGRELC,AGRELC,2021,0.2114
Region1,DEMAGRELC,AGRELC,2022,0.2094
Region1,DEMAGRELC,AGRELC,2023,0.2055
Region1,DEMAGRELC,AGRELC,2024,0.2035
Region1,DEMAGRELC,AGRELC,2025,0.2012
Region1,DEMAGRELC,AGRELC,2026,0.1989
Region1,DEMAGRELC,AGRELC,2027,0.1966
Region1,DEMAGRELC,AGRELC,2028,0.1941
Region1,DEMAGRELC,AGRELC,2029,0.1851
Region1,DEMAGRELC,AGRELC,2030,0.1889
Region1,DEMAGRGWTR01,AGRWATR01,2014,0.0
Region1,DEMAGRGWTR01,AGRWATR01,2016,0.0252
Region1,DEMAGRGWTR01,AGRWATR01,2017,0.0278
Region1,DEMAGRGWTR01,AGRWATR01,2018,0.0252
Region1,DEMAGRGWTR01,AGRWATR01,2019,0.0251
Region1,DEMAGRGWTR01,AGRWATR01,2020,0.025
Region1,DEMAGRGWTR01,AGRWATR01,2021,0.025
Region1,DEMAGRGWTR01,AGRWATR01,2022,0.025
Region1,DEMAGRGWTR01,AGRWATR01,2023,0.025
Region1,DEMAGRGWTR01,AGRWATR01,2024,0.0242
Region1,DEMAGRGWTR01,AGRWATR01,2025,0.0234
Region1,DEMAGRGWTR01,AGRWATR01,2026,0.0226
Region1,DEMAGRGWTR01,AGRWATR01,2027,0.0218
Region1,DEMAGRGWTR01,AGRWATR01,2028,0.0208
Region1,DEMAGRGWTR01,AGRWATR01,2029,0.0252
Region1,DEMAGRGWTR01,AGRWATR01,2030,0.0252
Region1,DEMAGRGWTR31,AGRWATR31,2014,0.1057
Region1,DEMAGRGWTR31,AGRWATR31,2015,0.0495
Region1,DEMAGRGWTR31,AGRWATR31,2016,0.1026
Region1,DEMAGRGWTR31,AGRWATR31,2017,0.1088
Region1,DEMAGRGWTR31,AGRWATR31,2018,0.1004
Region1,DEMAGRGWTR31,AGRWATR31,2019,0.0994
Region1,DEMAGRGWTR31,AGRWATR31,2020,0.0983
Region1,DEMAGRGWTR31,AGRWATR31,2021,0.0972
Region1,DEMAGRGWTR31,AGRWATR31,2022,0.0961
Region1,DEMAGRGWTR31,AGRWATR31,2023,0.0939
Region1,DEMAGRGWTR31,AGRWATR31,2024,0.0934
Region1,DEMAGRGWTR31,AGRWATR31,2025,0.0929
Region1,DEMAGRGWTR31,AGRWATR31,2026,0.0924
Region1,DEMAGRGWTR31,AGRWATR31,2027,0.0919
Region1,DEMAGRGWTR31,AGRWATR31,2028,0.0914
Region1,DEMAGRGWTR31,AGRWATR31,2029,0.0818
Region1,DEMAGRGWTR31,AGRWATR31,2030,0.0839
Region1,DEMAGRWATR01,AGRWATR01,2014,0.246
Region1,DEMAGRWATR01,AGRWATR01,2015,0.246
Region1,DEMAGRWATR01,AGRWATR01,2016,0.2133
Region1,DEMAGRWATR01,AGRWATR01,2017,0.2141
Region1,DEMAGRWATR01,AGRWATR01,2018,0.2133
Region1,DEMAGRWATR01,AGRWATR01,2019,0.2133
Region1,DEMAGRWATR01,AGRWATR01,2020,0.2133
Region1,DEMAGRWATR01,AGRWATR01,2021,0.2133
Region1,DEMAGRWATR01,AGRWATR01,2022,0.2133
Region1,DEMAGRWATR01,AGRWATR01,2023,0.2133
Region1,DEMAGRWATR01,AGRWATR01,2024,0.2132
Region1,DEMAGRWATR01,AGRWATR01,2025,0.2134
Region1,DEMAGRWATR01,AGRWATR01,2026,0.2124
Region1,DEMAGRWATR01,AGRWATR01,2027,0.2134
Region1,DEMAGRWATR01,AGRWATR01,2028,0.2135
Region1,DEMAGRWATR01,AGRWATR01,2029,0.2131
Region1,DEMAGRWATR01,AGRWATR01,2030,0.2131
Region1,DEMAGRWATR02,AGRWATR02,2014,0.0863
Region1,DEMAGRWATR02,AGRWATR02,2015,0.0933
Region1,DEMAGRWATR02,AGRWATR02,2016,0.1001
Region1,DEMAGRWATR02,AGRWATR02,2017,0.0993
Region1,DEMAGRWATR02,AGRWATR02,2018,0.0998
Region1,DEMAGRWATR02,AGRWATR02,2019,0.1
Region1,DEMAGRWATR02,AGRWATR02,2020,0.0998
Region1,DEMAGRWATR02,AGRWATR02,2021,0.1001
Region1,DEMAGRWATR02,AGRWATR02,2022,0.0995
Region1,DEMAGRWATR02,AGRWATR02,2023,0.1001
Region1,DEMAGRWATR02,AGRWATR02,2024,0.0987
Region1,DEMAGRWATR02,AGRWATR02,2025,0.0997
Region1,DEMAGRWATR02,AGRWATR02,2026,0.0997
Region1,DEMAGRWATR02,AGRWATR02,2027,0.098
Region1,DEMAGRWATR02,AGRWATR02,2028,0.0966
Region1,DEMAGRWATR02,AGRWATR02,2029,0.1001
Region1,DEMAGRWATR02,AGRWATR02,2030,0.1001
Region1,DEMAGRWATR03,AGRWATR03,2014,0.0758
Region1,DEMAGRWATR03,AGRWATR03,2015,0.0758
Region1,DEMAGRWATR03,AGRWATR03,2016,0.0766
Region1,DEMAGRWATR03,AGRWATR03,2017,0.074
Region1,DEMAGRWATR03,AGRWATR03,2018,0.0769
Region1,DEMAGRWATR03,AGRWATR03,2019,0.0765
Region1,DEMAGRWATR03,AGRWATR03,2020,0.0765
