r,t,y,SalvageValue
Region1,DEMAGRGWTR31,2029,0.3692
Region1,DEMAGRWATR01,2029,0.579
Region1,DEMAGRWATR02,2029,0.2036
Region1,DEMAGRWATR02,2030,0.017
Region1,DEMAGRWATR03,2029,0.1788
Region1,DEMAGRWATR04,2017,0.0
Region1,DEMAGRWATR04,2029,0.0692
Region1,DEMAGRWATR04,2030,0.7624
Region1,DEMAGRWATR05,2017,0.0
Region1,DEMAGRWATR05,2026,0.0021
Region1,DEMAGRWATR05,2028,0.0003
Region1,DEMAGRWATR05,2029,0.0964
Region1,DEMAGRWATR05,2030,0.033
Region1,DEMAGRWATR06,2029,0.2879
Region1,DEMAGRWATR06,2030,0.0753
Region1,DEMAGRWATR07,2017,0.0
Region1,DEMAGRWATR07,2029,0.1716
Region1,DEMAGRWATR07,2030,0.3129
Region1,DEMAGRWATR08,2029,0.7484
Region1,DEMAGRWATR09,2019,0.0059
Region1,DEMAGRWATR09,2020,0.0116
Region1,DEMAGRWATR09,2021,0.0134
Region1,DEMAGRWATR09,2022,0.0046
Region1,DEMAGRWATR09,2023,0.0061
Region1,DEMAGRWATR09,2024,0.0067
Region1,DEMAGRWATR09,2025,0.0119
Region1,DEMAGRWATR09,2026,0.0076
Region1,DEMAGRWATR09,2027,0.0077
Region1,DEMAGRWATR09,2028,0.0088
Region1,DEMAGRWATR09,2029,0.117
Region1,DEMAGRWATR09,2030,0.7644
Region1,DEMAGRWATR10,2030,0.4066
Region1,DEMAGRWATR11,2017,0.0001
Region1,DEMAGRWATR11,2029,0.066
Region1,DEMAGRWATR11,2030,0.1529
Region1,DEMAGRWATR12,2017,0.0
Region1,DEMAGRWATR12,2029,0.4925
Region1,DEMAGRWATR12,2030,1.8356
Region1,DEMAGRWATR13,2029,0.5192
Region1,DEMAGRWATR13,2030,0.6613
Region1,DEMAGRWATR14,2017,0.0
Region1,DEMAGRWATR14,2029,0.4543
Region1,DEMAGRWATR14,2030,0.7429
Region1,DEMAGRWATR15,2017,0.0
Region1,DEMAGRWATR15,2029,0.3292
Region1,DEMAGRWATR15,2030,0.2558
Region1,DEMAGRWATR16,2017,0.0
Region1,DEMAGRWATR16,2029,0.7726
Region1,DEMAGRWATR16,2030,0.6135
Region1,DEMAGRWATR17,2017,0.0
Region1,DEMAGRWATR17,2029,1.0332
Region1,DEMAGRWATR17,2030,0.5653
Region1,DEMAGRWATR18,2023,0.0007
Region1,DEMAGRWATR18,2029,0.0049
Region1,DEMAGRWATR19,2029,0.3768
Region1,DEMAGRWATR20,2029,0.061
Region1,DEMAGRWATR20,2030,0.0
Region1,DEMAGRWATR21,2029,0.2375
Region1,DEMAGRWATR22,2017,0.0
Region1,DEMAGRWATR22,2029,0.005
Region1,DEMAGRWATR22,2030,0.0108
Region1,DEMAGRWATR23,2017,0.0
Region1,DEMAGRWATR23,2029,0.0488
Region1,DEMAGRWATR23,2030,0.0477
Region1,DEMAGRWATR24,2017,0.0
Region1,DEMAGRWATR24,2029,0.3072
Region1,DEMAGRWATR24,2030,0.0145
Region1,DEMAGRWATR25,2017,0.0
Region1,DEMAGRWATR25,2029,0.0896
Region1,DEMAGRWATR25,2030,0.0053
Region1,DEMAGRWATR26,2017,0.0
Region1,DEMAGRWATR26,2029,0.2151
Region1,DEMAGRWATR26,2030,0.4838
Region1,DEMAGRWATR27,2017,0.0
Region1,DEMAGRWATR27,2029,0.0159
Region1,DEMAGRWATR27,2030,0.0855
Region1,DEMAGRWATR28,2019,0.0041
Region1,DEMAGRWATR28,2020,0.0105
Region1,DEMAGRWATR28,2021,0.0182
Region1,DEMAGRWATR28,2022,0.0081
Region1,DEMAGRWATR28,2023,0.0023
Region1,DEMAGRWATR28,2024,0.0026
Region1,DEMAGRWATR28,2026,0.0025
Region1,DEMAGRWATR28,2027,0.0077
Region1,DEMAGRWATR28,2028,0.0076
Region1,DEMAGRWATR28,2030,0.1192
Region1,DEMAGRWATR29,2029,0.5075
Region1,DEMAGRWATR30,2017,0.0
Region1,DEMAGRWATR30,2019,0.0003
