r,t,m,y,TotalAnnualTechnologyActivityByMode
Region1,DEMAGRELC,1,2014,0.2016
Region1,DEMAGRELC,1,2015,0.0944
Region1,DEMAGRELC,1,2016,0.2438
Region1,DEMAGRELC,1,2017,0.2605
Region1,DEMAGRELC,1,2018,0.2396
Region1,DEMAGRELC,1,2019,0.2374
Region1,DEMAGRELC,1,2020,0.2351
Region1,DEMAGRELC,1,2021,0.2331
Region1,DEMAGRELC,1,2022,0.2309
Region1,DEMAGRELC,1,2023,0.2266
Region1,DEMAGRELC,1,2024,0.2244
Region1,DEMAGRELC,1,2025,0.2218
Region1,DEMAGRELC,1,2026,0.2193
Region1,DEMAGRELC,1,2027,0.2168
Region1,DEMAGRELC,1,2028,0.214
Region1,DEMAGRELC,1,2029,0.2041
Region1,DEMAGRELC,1,2030,0.2082
Region1,DEMAGRGWTR01,1,2014,0.0
Region1,DEMAGRGWTR01,1,2016,0.0252
Region1,DEMAGRGWTR01,1,2017,0.0278
Region1,DEMAGRGWTR01,1,2018,0.0252
Region1,DEMAGRGWTR01,1,2019,0.0251
Region1,DEMAGRGWTR01,1,2020,0.025
Region1,DEMAGRGWTR01,1,2021,0.025
Region1,DEMAGRGWTR01,1,2022,0.025
Region1,DEMAGRGWTR01,1,2023,0.025
Region1,DEMAGRGWTR01,1,2024,0.0242
Region1,DEMAGRGWTR01,1,2025,0.0234
Region1,DEMAGRGWTR01,1,2026,0.0226
Region1,DEMAGRGWTR01,1,2027,0.0218
Region1,DEMAGRGWTR01,1,2028,0.0208
Region1,DEMAGRGWTR01,1,2029,0.0252
Region1,DEMAGRGWTR01,1,2030,0.0252
Region1,DEMAGRGWTR31,1,2014,0.1057
Region1,DEMAGRGWTR31,1,2015,0.0495
Region1,DEMAGRGWTR31,1,2016,0.1026
Region1,DEMAGRGWTR31,1,2017,0.1088
Region1,DEMAGRGWTR31,1,2018,0.1004
Region1,DEMAGRGWTR31,1,2019,0.0993
Region1,DEMAGRGWTR31,1,2020,0.0983
Region1,DEMAGRGWTR31,1,2021,0.0973
Region1,DEMAGRGWTR31,1,2022,0.0961
Region1,DEMAGRGWTR31,1,2023,0.0938
Region1,DEMAGRGWTR31,1,2024,0.0934
Region1,DEMAGRGWTR31,1,2025,0.0929
