r,l,t,m,y,RateOfActivity
REGION1,SEA1BAS,DEMAGRDSL,1,2015,46.1443
REGION1,SEA1INT,DEMAGRDSL,1,2015,0.9341
REGION1,SEA1PEK,DEMAGRDSL,1,2015,0.9341
REGION1,SEA2BAS,DEMAGRDSL,1,2015,0.9341
REGION1,SEA2INT,DEMAGRDSL,1,2015,0.9341
REGION1,SEA2PEK,DEMAGRDSL,1,2015,0.9341
REGION1,SEA1BAS,DEMAGRDSL,1,2016,46.2377
REGION1,SEA1INT,DEMAGRDSL,1,2016,1.0275
REGION1,SEA1PEK,DEMAGRDSL,1,2016,1.0275
REGION1,SEA2BAS,DEMAGRDSL,1,2016,1.0275
REGION1,SEA2INT,DEMAGRDSL,1,2016,1.0275
REGION1,SEA2PEK,DEMAGRDSL,1,2016,1.0275
REGION1,SEA1BAS,DEMAGRDSL,1,2017,1.1302
REGION1,SEA1INT,DEMAGRDSL,1,2017,1.1302
REGION1,SEA1PEK,DEMAGRDSL,1,2017,1.1302
REGION1,SEA2BAS,DEMAGRDSL,1,2017,34.2716
REGION1,SEA2INT,DEMAGRDSL,1,2017,1.1302
REGION1,SEA2PEK,DEMAGRDSL,1,2017,1.1302
REGION1,SEA1BAS,DEMAGRDSL,1,2018,1.2432
REGION1,SEA1INT,DEMAGRDSL,1,2018,1.2432
REGION1,SEA1PEK,DEMAGRDSL,1,2018,1.2432
REGION1,SEA2BAS,DEMAGRDSL,1,2018,35.5784
REGION1,SEA2INT,DEMAGRDSL,1,2018,1.2432
REGION1,SEA2PEK,DEMAGRDSL,1,2018,1.2432
REGION1,SEA1BAS,DEMAGRDSL,1,2019,51.816
REGION1,SEA1INT,DEMAGRDSL,1,2019,1.3675
REGION1,SEA1PEK,DEMAGRDSL,1,2019,1.3675
REGION1,SEA2BAS,DEMAGRDSL,1,2019,1.3675
REGION1,SEA2INT,DEMAGRDSL,1,2019,1.3675
REGION1,SEA2PEK,DEMAGRDSL,1,2019,1.3675
REGION1,SEA1BAS,DEMAGRDSL,1,2020,53.6451
REGION1,SEA1INT,DEMAGRDSL,1,2020,1.5043
REGION1,SEA1PEK,DEMAGRDSL,1,2020,1.5043
REGION1,SEA2BAS,DEMAGRDSL,1,2020,1.5043
REGION1,SEA2INT,DEMAGRDSL,1,2020,1.5043
REGION1,SEA2PEK,DEMAGRDSL,1,2020,1.5043
REGION1,SEA1BAS,DEMAGRDSL,1,2021,56.9385
REGION1,SEA1INT,DEMAGRDSL,1,2021,1.6547
REGION1,SEA1PEK,DEMAGRDSL,1,2021,1.6547
REGION1,SEA2BAS,DEMAGRDSL,1,2021,1.6547
REGION1,SEA2INT,DEMAGRDSL,1,2021,1.6547
REGION1,SEA2PEK,DEMAGRDSL,1,2021,1.6547
REGION1,SEA1BAS,DEMAGRDSL,1,2022,1.8202
REGION1,SEA1INT,DEMAGRDSL,1,2022,30.9799
REGION1,SEA1PEK,DEMAGRDSL,1,2022,1.8202
REGION1,SEA2BAS,DEMAGRDSL,1,2022,1.8202
REGION1,SEA2INT,DEMAGRDSL,1,2022,1.8202
REGION1,SEA2PEK,DEMAGRDSL,1,2022,1.8202
REGION1,SEA1BAS,DEMAGRDSL,1,2023,63.4107
REGION1,SEA1INT,DEMAGRDSL,1,2023,2.0022
REGION1,SEA1PEK,DEMAGRDSL,1,2023,2.0022
REGION1,SEA2BAS,DEMAGRDSL,1,2023,2.0022
REGION1,SEA2INT,DEMAGRDSL,1,2023,2.0022
REGION1,SEA2PEK,DEMAGRDSL,1,2023,2.0022
REGION1,SEA1BAS,DEMAGRDSL,1,2024,2.2024
REGION1,SEA1INT,DEMAGRDSL,1,2024,2.2024
REGION1,SEA1PEK,DEMAGRDSL,1,2024,2.2024
REGION1,SEA2BAS,DEMAGRDSL,1,2024,47.5658
REGION1,SEA2INT,DEMAGRDSL,1,2024,2.2024
REGION1,SEA2PEK,DEMAGRDSL,1,2024,2.2024
REGION1,SEA1BAS,DEMAGRDSL,1,2025,2.4227
REGION1,SEA1INT,DEMAGRDSL,1,2025,2.4227
REGION1,SEA1PEK,DEMAGRDSL,1,2025,2.4227
REGION1,SEA2BAS,DEMAGRDSL,1,2025,49.7756
REGION1,SEA2INT,DEMAGRDSL,1,2025,2.4227
REGION1,SEA2PEK,DEMAGRDSL,1,2025,2.4227
REGION1,SEA1BAS,DEMAGRDSL,1,2026,72.6018
REGION1,SEA1INT,DEMAGRDSL,1,2026,2.6508
REGION1,SEA1PEK,DEMAGRDSL,1,2026,2.6508
REGION1,SEA2BAS,DEMAGRDSL,1,2026,2.6508
REGION1,SEA2INT,DEMAGRDSL,1,2026,2.6508
REGION1,SEA2PEK,DEMAGRDSL,1,2026,2.6508
REGION1,SEA1BAS,DEMAGRDSL,1,2027,2.8703
REGION1,SEA1INT,DEMAGRDSL,1,2027,2.8703
REGION1,SEA1PEK,DEMAGRDSL,1,2027,2.8703
REGION1,SEA2BAS,DEMAGRDSL,1,2027,54.2025
REGION1,SEA2INT,DEMAGRDSL,1,2027,2.8703
REGION1,SEA2PEK,DEMAGRDSL,1,2027,2.8703
REGION1,SEA1BAS,DEMAGRDSL,1,2028,78.5878
REGION1,SEA1INT,DEMAGRDSL,1,2028,3.0763
REGION1,SEA1PEK,DEMAGRDSL,1,2028,3.0763
REGION1,SEA2BAS,DEMAGRDSL,1,2028,3.0763
REGION1,SEA2INT,DEMAGRDSL,1,2028,3.0763
REGION1,SEA2PEK,DEMAGRDSL,1,2028,3.0763
REGION1,SEA1BAS,DEMAGRDSL,1,2029,81.4393
REGION1,SEA1INT,DEMAGRDSL,1,2029,3.2683
REGION1,SEA1PEK,DEMAGRDSL,1,2029,3.2683
REGION1,SEA2BAS,DEMAGRDSL,1,2029,3.2683
REGION1,SEA2INT,DEMAGRDSL,1,2029,3.2683
REGION1,SEA2PEK,DEMAGRDSL,1,2029,3.2683
REGION1,SEA1BAS,DEMAGRDSL,1,2030,3.4464
REGION1,SEA1INT,DEMAGRDSL,1,2030,3.4464
