r,t,l,y,RateOfTotalActivity
REGION1,DEMAGRDSL,SEA1BAS,2015,46.1443
REGION1,DEMAGRDSL,SEA1BAS,2016,46.2377
REGION1,DEMAGRDSL,SEA1BAS,2017,1.1302
REGION1,DEMAGRDSL,SEA1BAS,2018,1.2432
REGION1,DEMAGRDSL,SEA1BAS,2019,51.816
REGION1,DEMAGRDSL,SEA1BAS,2020,53.6451
REGION1,DEMAGRDSL,SEA1BAS,2021,56.9385
REGION1,DEMAGRDSL,SEA1BAS,2022,1.8202
REGION1,DEMAGRDSL,SEA1BAS,2023,63.4107
REGION1,DEMAGRDSL,SEA1BAS,2024,2.2024
REGION1,DEMAGRDSL,SEA1BAS,2025,2.4227
REGION1,DEMAGRDSL,SEA1BAS,2026,72.6018
REGION1,DEMAGRDSL,SEA1BAS,2027,2.8703
REGION1,DEMAGRDSL,SEA1BAS,2028,78.5878
REGION1,DEMAGRDSL,SEA1BAS,2029,81.4393
REGION1,DEMAGRDSL,SEA1BAS,2030,3.4464
REGION1,DEMAGRDSL,SEA1INT,2015,0.9341
REGION1,DEMAGRDSL,SEA1INT,2016,1.0275
REGION1,DEMAGRDSL,SEA1INT,2017,1.1302
REGION1,DEMAGRDSL,SEA1INT,2018,1.2432
REGION1,DEMAGRDSL,SEA1INT,2019,1.3675
REGION1,DEMAGRDSL,SEA1INT,2020,1.5043
REGION1,DEMAGRDSL,SEA1INT,2021,1.6547
REGION1,DEMAGRDSL,SEA1INT,2022,30.9799
REGION1,DEMAGRDSL,SEA1INT,2023,2.0022
REGION1,DEMAGRDSL,SEA1INT,2024,2.2024
REGION1,DEMAGRDSL,SEA1INT,2025,2.4227
REGION1,DEMAGRDSL,SEA1INT,2026,2.6508
REGION1,DEMAGRDSL,SEA1INT,2027,2.8703
REGION1,DEMAGRDSL,SEA1INT,2028,3.0763
REGION1,DEMAGRDSL,SEA1INT,2029,3.2683
REGION1,DEMAGRDSL,SEA1INT,2030,3.4464
REGION1,DEMAGRDSL,SEA1PEK,2015,0.9341
REGION1,DEMAGRDSL,SEA1PEK,2016,1.0275
REGION1,DEMAGRDSL,SEA1PEK,2017,1.1302
REGION1,DEMAGRDSL,SEA1PEK,2018,1.2432
REGION1,DEMAGRDSL,SEA1PEK,2019,1.3675
REGION1,DEMAGRDSL,SEA1PEK,2020,1.5043
REGION1,DEMAGRDSL,SEA1PEK,2021,1.6547
REGION1,DEMAGRDSL,SEA1PEK,2022,1.8202
REGION1,DEMAGRDSL,SEA1PEK,2023,2.0022
REGION1,DEMAGRDSL,SEA1PEK,2024,2.2024
REGION1,DEMAGRDSL,SEA1PEK,2025,2.4227
REGION1,DEMAGRDSL,SEA1PEK,2026,2.6508
REGION1,DEMAGRDSL,SEA1PEK,2027,2.8703
REGION1,DEMAGRDSL,SEA1PEK,2028,3.0763
REGION1,DEMAGRDSL,SEA1PEK,2029,3.2683
REGION1,DEMAGRDSL,SEA1PEK,2030,3.4464
REGION1,DEMAGRDSL,SEA2BAS,2015,0.9341
REGION1,DEMAGRDSL,SEA2BAS,2016,1.0275
REGION1,DEMAGRDSL,SEA2BAS,2017,34.2716
