r,t,y,AnnualFixedOperatingCost
REGION1,PWRCOAJ01,2015,13.2
REGION1,PWRCOAJ01,2016,13.2
REGION1,PWRCOAJ01,2017,13.2
REGION1,PWRCOAJ01,2018,13.2
REGION1,PWRCOAJ01,2019,13.2
REGION1,PWRCOAJ01,2020,13.2
REGION1,PWRCOAJ01,2021,13.2
REGION1,PWRCOAJ02,2015,39.6
REGION1,PWRCOAJ02,2016,39.6
REGION1,PWRCOAJ02,2017,39.6
REGION1,PWRCOAJ02,2018,39.6
REGION1,PWRCOAJ02,2019,39.6
REGION1,PWRCOAJ02,2020,39.6
REGION1,PWRCOAJ02,2021,39.6
REGION1,PWRCOAJ03,2015,26.4
REGION1,PWRCOAJ03,2016,26.4
REGION1,PWRCOAJ03,2017,26.4
REGION1,PWRCOAJ03,2018,26.4
REGION1,PWRCOAJ03,2019,26.4
REGION1,PWRCOAJ03,2020,26.4
REGION1,PWRCOAJ03,2021,26.4
REGION1,PWRCOAJ03,2022,26.4
REGION1,PWRCOAJ04,2015,13.2
REGION1,PWRCOAJ04,2016,13.2
REGION1,PWRCOAJ04,2017,13.2
REGION1,PWRCOAJ04,2018,13.2
REGION1,PWRCOAJ04,2019,13.2
REGION1,PWRCOAJ04,2020,13.2
REGION1,PWRCOAJ04,2021,13.2
REGION1,PWRCOAJ04,2022,13.2
REGION1,PWRCOAJ05,2015,12.0
REGION1,PWRCOAJ05,2016,12.0
REGION1,PWRCOAJ05,2017,12.0
REGION1,PWRCOAJ05,2018,12.0
REGION1,PWRCOAJ05,2019,12.0
REGION1,PWRCOAJ05,2020,12.0
REGION1,PWRCOAJ05,2021,12.0
REGION1,PWRCOAJ05,2022,12.0
REGION1,PWRCOAJ06,2015,12.0
REGION1,PWRCOAJ06,2016,12.0
REGION1,PWRCOAJ06,2017,12.0
REGION1,PWRCOAJ06,2018,12.0
REGION1,PWRCOAJ06,2019,12.0
REGION1,PWRCOAJ06,2020,12.0
REGION1,PWRCOAJ06,2021,12.0
REGION1,PWRCOAJ06,2022,12.0
REGION1,PWRCOAJ06,2023,12.0
REGION1,PWRCOAJ07,2015,18.9
REGION1,PWRCOAJ07,2016,18.9
REGION1,PWRCOAJ07,2017,18.9
REGION1,PWRCOAJ07,2018,18.9
REGION1,PWRCOAJ07,2019,18.9
REGION1,PWRCOAJ07,2020,18.9
REGION1,PWRCOAJ07,2021,18.9
REGION1,PWRCOAJ07,2022,18.9
REGION1,PWRCOAJ07,2023,18.9
REGION1,PWRCOAJ08,2015,24.0
REGION1,PWRCOAJ08,2016,24.0
REGION1,PWRCOAJ08,2017,24.0
REGION1,PWRCOAJ08,2018,24.0
REGION1,PWRCOAJ08,2019,24.0
REGION1,PWRCOAJ08,2020,24.0
REGION1,PWRCOAJ08,2021,24.0
REGION1,PWRCOAJ08,2022,24.0
REGION1,PWRCOAJ08,2023,24.0
REGION1,PWRCOAJ09,2015,46.0
REGION1,PWRCOAJ09,2016,46.0
REGION1,PWRCOAJ09,2017,46.0
REGION1,PWRCOAJ09,2018,46.0
REGION1,PWRCOAJ09,2019,46.0
REGION1,PWRCOAJ09,2020,46.0
REGION1,PWRCOAJ09,2021,46.0
REGION1,PWRCOAJ09,2022,46.0
REGION1,PWRCOAJ09,2023,46.0
REGION1,PWRCOAJ10,2015,21.0
REGION1,PWRCOAJ10,2016,21.0
REGION1,PWRCOAJ10,2017,21.0
REGION1,PWRCOAJ10,2018,21.0
REGION1,PWRCOAJ10,2019,21.0
REGION1,PWRCOAJ10,2020,21.0
REGION1,PWRCOAJ10,2021,21.0
REGION1,PWRCOAJ10,2022,21.0
REGION1,PWRCOAJ10,2023,21.0
REGION1,PWRCOAJ10,2024,21.0
REGION1,PWRCOAJ11,2015,12.6
REGION1,PWRCOAJ11,2016,12.6
REGION1,PWRCOAJ11,2017,12.6
REGION1,PWRCOAJ11,2018,12.6
REGION1,PWRCOAJ11,2019,12.6
REGION1,PWRCOAJ11,2020,12.6
REGION1,PWRCOAJ11,2021,12.6
REGION1,PWRCOAJ11,2022,12.6
REGION1,PWRCOAJ11,2023,12.6
REGION1,PWRCOAJ11,2024,12.6
REGION1,PWRCOAJ12,2015,12.6
REGION1,PWRCOAJ12,2016,12.6
REGION1,PWRCOAJ12,2017,12.6
REGION1,PWRCOAJ12,2018,12.6
REGION1,PWRCOAJ12,2019,12.6
REGION1,PWRCOAJ12,2020,12.6
REGION1,PWRCOAJ12,2021,12.6
REGION1,PWRCOAJ12,2022,12.6
REGION1,PWRCOAJ12,2023,12.6
REGION1,PWRCOAJ12,2024,12.6
REGION1,PWRCOAJ12,2025,12.6
REGION1,PWRCOAJ13,2015,19.8
REGION1,PWRCOAJ13,2016,19.8
REGION1,PWRCOAJ13,2017,19.8
REGION1,PWRCOAJ13,2018,19.8
REGION1,PWRCOAJ13,2019,19.8
REGION1,PWRCOAJ13,2020,19.8
REGION1,PWRCOAJ13,2021,19.8
REGION1,PWRCOAJ13,2022,19.8
REGION1,PWRCOAJ13,2023,19.8
REGION1,PWRCOAJ13,2024,19.8
REGION1,PWRCOAJ13,2025,19.8
REGION1,PWRCOAJ14,2015,102.0
REGION1,PWRCOAJ14,2016,102.0
REGION1,PWRCOAJ14,2017,102.0
REGION1,PWRCOAJ14,2018,102.0
REGION1,PWRCOAJ14,2019,102.0
REGION1,PWRCOAJ14,2020,102.0
REGION1,PWRCOAJ14,2021,102.0
REGION1,PWRCOAJ14,2022,102.0
REGION1,PWRCOAJ14,2023,102.0
REGION1,PWRCOAJ14,2024,102.0
REGION1,PWRCOAJ14,2025,102.0
REGION1,PWRCOAJ15,2015,12.5
REGION1,PWRCOAJ15,2016,12.5
REGION1,PWRCOAJ15,2017,12.5
