r,t,y,CapitalInvestment
REGION1,DEMAGRELCJ02,2015,534.3732
REGION1,DEMAGRELCJ02,2017,30.6337
REGION1,DEMAGRELCJ02,2018,30.6254
REGION1,DEMAGRELCJ02,2019,30.6177
REGION1,DEMAGRELCJ02,2020,30.6107
REGION1,DEMAGRELCJ02,2021,48.2429
REGION1,DEMAGRELCJ02,2022,48.2279
REGION1,DEMAGRELCJ02,2023,48.2143
REGION1,DEMAGRELCJ02,2024,48.2017
REGION1,DEMAGRELCJ02,2025,48.1902
REGION1,DEMAGRELCJ02,2026,48.1796
REGION1,DEMAGRELCJ02,2027,48.1697
REGION1,DEMAGRELCJ02,2028,48.1606
REGION1,DEMAGRELCJ02,2029,48.1521
REGION1,DEMAGRELCJ02,2030,48.1442
REGION1,DEMAGRELCK02,2015,56.4541
REGION1,DEMAGRELCK02,2017,3.2363
REGION1,DEMAGRELCK02,2018,3.2354
REGION1,DEMAGRELCK02,2019,3.2346
REGION1,DEMAGRELCK02,2020,3.2339
REGION1,DEMAGRELCK02,2021,5.0966
REGION1,DEMAGRELCK02,2022,5.0951
REGION1,DEMAGRELCK02,2023,5.0936
REGION1,DEMAGRELCK02,2024,5.0923
REGION1,DEMAGRELCK02,2025,5.0911
REGION1,DEMAGRELCK02,2026,5.0899
REGION1,DEMAGRELCK02,2027,5.0889
REGION1,DEMAGRELCK02,2028,5.0879
REGION1,DEMAGRELCK02,2029,5.087
REGION1,DEMAGRELCK02,2030,5.0862
REGION1,DEMAGRELCL02,2015,68.9177
REGION1,DEMAGRELCL02,2017,3.9508
REGION1,DEMAGRELCL02,2018,3.9497
REGION1,DEMAGRELCL02,2019,3.9487
REGION1,DEMAGRELCL02,2020,3.9478
REGION1,DEMAGRELCL02,2021,6.2219
REGION1,DEMAGRELCL02,2022,6.2199
REGION1,DEMAGRELCL02,2023,6.2182
REGION1,DEMAGRELCL02,2024,6.2165
REGION1,DEMAGRELCL02,2025,6.2151
REGION1,DEMAGRELCL02,2026,6.2137
REGION1,DEMAGRELCL02,2027,6.2124
REGION1,DEMAGRELCL02,2028,6.2112
REGION1,DEMAGRELCL02,2029,6.2101
REGION1,DEMAGRELCL02,2030,6.2091
REGION1,DEMAGRELCM02,2015,10.4806
REGION1,DEMAGRELCM02,2017,0.6008
REGION1,DEMAGRELCM02,2018,0.6007
REGION1,DEMAGRELCM02,2019,0.6005
REGION1,DEMAGRELCM02,2020,0.6004
REGION1,DEMAGRELCM02,2021,0.9462
REGION1,DEMAGRELCM02,2022,0.9459
REGION1,DEMAGRELCM02,2023,0.9456
REGION1,DEMAGRELCM02,2024,0.9454
REGION1,DEMAGRELCM02,2025,0.9451
REGION1,DEMAGRELCM02,2026,0.9449
REGION1,DEMAGRELCM02,2027,0.9447
REGION1,DEMAGRELCM02,2028,0.9446
REGION1,DEMAGRELCM02,2029,0.9444
REGION1,DEMAGRELCM02,2030,0.9442
REGION1,DEMAGRELCN02,2015,51.9269
REGION1,DEMAGRELCN02,2017,2.9768
REGION1,DEMAGRELCN02,2018,2.976
REGION1,DEMAGRELCN02,2019,2.9752
REGION1,DEMAGRELCN02,2020,2.9746
REGION1,DEMAGRELCN02,2021,4.6879
REGION1,DEMAGRELCN02,2022,4.6865
REGION1,DEMAGRELCN02,2023,4.6851
REGION1,DEMAGRELCN02,2024,4.6839
REGION1,DEMAGRELCN02,2025,4.6828
REGION1,DEMAGRELCN02,2026,4.6818
REGION1,DEMAGRELCN02,2027,4.6808
REGION1,DEMAGRELCN02,2028,4.6799
REGION1,DEMAGRELCN02,2029,4.6791
REGION1,DEMAGRELCN02,2030,4.6783
REGION1,DEMAGRELCP02,2015,14.7838
REGION1,DEMAGRELCP02,2017,0.8475
REGION1,DEMAGRELCP02,2018,0.8473
REGION1,DEMAGRELCP02,2019,0.8471
REGION1,DEMAGRELCP02,2020,0.8469
REGION1,DEMAGRELCP02,2021,1.3347
REGION1,DEMAGRELCP02,2022,1.3343
REGION1,DEMAGRELCP02,2023,1.3339
REGION1,DEMAGRELCP02,2024,1.3335
REGION1,DEMAGRELCP02,2025,1.3332
REGION1,DEMAGRELCP02,2026,1.3329
REGION1,DEMAGRELCP02,2027,1.3327
REGION1,DEMAGRELCP02,2028,1.3324
REGION1,DEMAGRELCP02,2029,1.3322
REGION1,DEMAGRELCP02,2030,1.3319
REGION1,DEMAGRELCS02,2015,203.4067
REGION1,DEMAGRELCS02,2017,11.6606
REGION1,DEMAGRELCS02,2018,11.6574
REGION1,DEMAGRELCS02,2019,11.6545
REGION1,DEMAGRELCS02,2020,11.6518
REGION1,DEMAGRELCS02,2021,18.3635
REGION1,DEMAGRELCS02,2022,18.3577
REGION1,DEMAGRELCS02,2023,18.3525
REGION1,DEMAGRELCS02,2024,18.3478
