r,l,f,y,Demand
REGION1,SEA1BAS,AGRELCJ02,2015,0.7857
REGION1,SEA1BAS,AGRELCJ02,2016,0.7857
REGION1,SEA1BAS,AGRELCJ02,2017,0.8308
REGION1,SEA1BAS,AGRELCJ02,2018,0.8758
REGION1,SEA1BAS,AGRELCJ02,2019,0.9208
REGION1,SEA1BAS,AGRELCJ02,2020,0.9658
REGION1,SEA1BAS,AGRELCJ02,2021,1.0368
REGION1,SEA1BAS,AGRELCJ02,2022,1.1077
REGION1,SEA1BAS,AGRELCJ02,2023,1.1786
REGION1,SEA1BAS,AGRELCJ02,2024,1.2494
REGION1,SEA1BAS,AGRELCJ02,2025,1.3203
REGION1,SEA1BAS,AGRELCJ02,2026,1.3911
REGION1,SEA1BAS,AGRELCJ02,2027,1.462
REGION1,SEA1BAS,AGRELCJ02,2028,1.5328
REGION1,SEA1BAS,AGRELCJ02,2029,1.6036
REGION1,SEA1BAS,AGRELCJ02,2030,1.6744
REGION1,SEA1BAS,AGRELCK02,2015,0.083
REGION1,SEA1BAS,AGRELCK02,2016,0.083
REGION1,SEA1BAS,AGRELCK02,2017,0.0878
REGION1,SEA1BAS,AGRELCK02,2018,0.0925
REGION1,SEA1BAS,AGRELCK02,2019,0.0973
REGION1,SEA1BAS,AGRELCK02,2020,0.102
REGION1,SEA1BAS,AGRELCK02,2021,0.1095
REGION1,SEA1BAS,AGRELCK02,2022,0.117
REGION1,SEA1BAS,AGRELCK02,2023,0.1245
REGION1,SEA1BAS,AGRELCK02,2024,0.132
REGION1,SEA1BAS,AGRELCK02,2025,0.1395
REGION1,SEA1BAS,AGRELCK02,2026,0.147
REGION1,SEA1BAS,AGRELCK02,2027,0.1544
REGION1,SEA1BAS,AGRELCK02,2028,0.1619
REGION1,SEA1BAS,AGRELCK02,2029,0.1694
REGION1,SEA1BAS,AGRELCK02,2030,0.1769
REGION1,SEA1BAS,AGRELCL02,2015,0.1013
REGION1,SEA1BAS,AGRELCL02,2016,0.1013
REGION1,SEA1BAS,AGRELCL02,2017,0.1071
REGION1,SEA1BAS,AGRELCL02,2018,0.113
REGION1,SEA1BAS,AGRELCL02,2019,0.1188
REGION1,SEA1BAS,AGRELCL02,2020,0.1246
REGION1,SEA1BAS,AGRELCL02,2021,0.1337
REGION1,SEA1BAS,AGRELCL02,2022,0.1429
REGION1,SEA1BAS,AGRELCL02,2023,0.152
REGION1,SEA1BAS,AGRELCL02,2024,0.1611
REGION1,SEA1BAS,AGRELCL02,2025,0.1703
REGION1,SEA1BAS,AGRELCL02,2026,0.1794
REGION1,SEA1BAS,AGRELCL02,2027,0.1885
REGION1,SEA1BAS,AGRELCL02,2028,0.1977
REGION1,SEA1BAS,AGRELCL02,2029,0.2068
REGION1,SEA1BAS,AGRELCL02,2030,0.2159
REGION1,SEA1BAS,AGRELCM02,2015,0.0154
REGION1,SEA1BAS,AGRELCM02,2016,0.0154
REGION1,SEA1BAS,AGRELCM02,2017,0.0163
REGION1,SEA1BAS,AGRELCM02,2018,0.0172
REGION1,SEA1BAS,AGRELCM02,2019,0.0181
REGION1,SEA1BAS,AGRELCM02,2020,0.0189
REGION1,SEA1BAS,AGRELCM02,2021,0.0203
REGION1,SEA1BAS,AGRELCM02,2022,0.0217
REGION1,SEA1BAS,AGRELCM02,2023,0.0231
REGION1,SEA1BAS,AGRELCM02,2024,0.0245
REGION1,SEA1BAS,AGRELCM02,2025,0.0259
REGION1,SEA1BAS,AGRELCM02,2026,0.0273
REGION1,SEA1BAS,AGRELCM02,2027,0.0287
REGION1,SEA1BAS,AGRELCM02,2028,0.0301
REGION1,SEA1BAS,AGRELCM02,2029,0.0315
REGION1,SEA1BAS,AGRELCM02,2030,0.0328
REGION1,SEA1BAS,AGRELCN02,2015,0.0764
REGION1,SEA1BAS,AGRELCN02,2016,0.0764
REGION1,SEA1BAS,AGRELCN02,2017,0.0807
REGION1,SEA1BAS,AGRELCN02,2018,0.0851
REGION1,SEA1BAS,AGRELCN02,2019,0.0895
REGION1,SEA1BAS,AGRELCN02,2020,0.0939
REGION1,SEA1BAS,AGRELCN02,2021,0.1007
REGION1,SEA1BAS,AGRELCN02,2022,0.1076
REGION1,SEA1BAS,AGRELCN02,2023,0.1145
REGION1,SEA1BAS,AGRELCN02,2024,0.1214
REGION1,SEA1BAS,AGRELCN02,2025,0.1283
REGION1,SEA1BAS,AGRELCN02,2026,0.1352
REGION1,SEA1BAS,AGRELCN02,2027,0.1421
REGION1,SEA1BAS,AGRELCN02,2028,0.1489
REGION1,SEA1BAS,AGRELCN02,2029,0.1558
REGION1,SEA1BAS,AGRELCN02,2030,0.1627
REGION1,SEA1BAS,AGRELCP02,2015,0.0217
REGION1,SEA1BAS,AGRELCP02,2016,0.0217
REGION1,SEA1BAS,AGRELCP02,2017,0.023
REGION1,SEA1BAS,AGRELCP02,2018,0.0242
REGION1,SEA1BAS,AGRELCP02,2019,0.0255
REGION1,SEA1BAS,AGRELCP02,2020,0.0267
REGION1,SEA1BAS,AGRELCP02,2021,0.0287
REGION1,SEA1BAS,AGRELCP02,2022,0.0306
REGION1,SEA1BAS,AGRELCP02,2023,0.0326
