r,t,y,DiscountedSalvageValue
REGION1,DEMAGRELCJ02,2015,132.3084
REGION1,DEMAGRELCJ02,2017,7.6125
REGION1,DEMAGRELCJ02,2018,7.6226
REGION1,DEMAGRELCJ02,2019,7.6318
REGION1,DEMAGRELCJ02,2020,7.6403
REGION1,DEMAGRELCJ02,2021,12.056
REGION1,DEMAGRELCJ02,2022,12.0658
REGION1,DEMAGRELCJ02,2023,12.0748
REGION1,DEMAGRELCJ02,2024,12.0831
REGION1,DEMAGRELCJ02,2025,12.0907
REGION1,DEMAGRELCJ02,2026,12.0976
REGION1,DEMAGRELCJ02,2027,12.104
REGION1,DEMAGRELCJ02,2028,12.1098
REGION1,DEMAGRELCJ02,2029,12.115
REGION1,DEMAGRELCJ02,2030,12.1198
REGION1,DEMAGRELCK02,2015,13.9778
REGION1,DEMAGRELCK02,2017,0.8042
REGION1,DEMAGRELCK02,2018,0.8053
REGION1,DEMAGRELCK02,2019,0.8063
REGION1,DEMAGRELCK02,2020,0.8072
REGION1,DEMAGRELCK02,2021,1.2737
REGION1,DEMAGRELCK02,2022,1.2747
REGION1,DEMAGRELCK02,2023,1.2757
REGION1,DEMAGRELCK02,2024,1.2765
REGION1,DEMAGRELCK02,2025,1.2773
REGION1,DEMAGRELCK02,2026,1.2781
REGION1,DEMAGRELCK02,2027,1.2787
REGION1,DEMAGRELCK02,2028,1.2793
REGION1,DEMAGRELCK02,2029,1.2799
REGION1,DEMAGRELCK02,2030,1.2804
REGION1,DEMAGRELCL02,2015,17.0637
REGION1,DEMAGRELCL02,2017,0.9818
REGION1,DEMAGRELCL02,2018,0.9831
REGION1,DEMAGRELCL02,2019,0.9843
REGION1,DEMAGRELCL02,2020,0.9854
REGION1,DEMAGRELCL02,2021,1.5549
REGION1,DEMAGRELCL02,2022,1.5561
REGION1,DEMAGRELCL02,2023,1.5573
REGION1,DEMAGRELCL02,2024,1.5584
REGION1,DEMAGRELCL02,2025,1.5593
REGION1,DEMAGRELCL02,2026,1.5602
REGION1,DEMAGRELCL02,2027,1.561
REGION1,DEMAGRELCL02,2028,1.5618
REGION1,DEMAGRELCL02,2029,1.5625
REGION1,DEMAGRELCL02,2030,1.5631
REGION1,DEMAGRELCM02,2015,2.5949
REGION1,DEMAGRELCM02,2017,0.1493
REGION1,DEMAGRELCM02,2018,0.1495
REGION1,DEMAGRELCM02,2019,0.1497
REGION1,DEMAGRELCM02,2020,0.1498
REGION1,DEMAGRELCM02,2021,0.2365
REGION1,DEMAGRELCM02,2022,0.2366
REGION1,DEMAGRELCM02,2023,0.2368
REGION1,DEMAGRELCM02,2024,0.237
REGION1,DEMAGRELCM02,2025,0.2371
REGION1,DEMAGRELCM02,2026,0.2373
REGION1,DEMAGRELCM02,2027,0.2374
REGION1,DEMAGRELCM02,2028,0.2375
REGION1,DEMAGRELCM02,2029,0.2376
REGION1,DEMAGRELCM02,2030,0.2377
REGION1,DEMAGRELCN02,2015,12.8569
REGION1,DEMAGRELCN02,2017,0.7397
REGION1,DEMAGRELCN02,2018,0.7407
REGION1,DEMAGRELCN02,2019,0.7416
REGION1,DEMAGRELCN02,2020,0.7424
REGION1,DEMAGRELCN02,2021,1.1715
REGION1,DEMAGRELCN02,2022,1.1725
REGION1,DEMAGRELCN02,2023,1.1734
REGION1,DEMAGRELCN02,2024,1.1742
REGION1,DEMAGRELCN02,2025,1.1749
REGION1,DEMAGRELCN02,2026,1.1756
REGION1,DEMAGRELCN02,2027,1.1762
REGION1,DEMAGRELCN02,2028,1.1767
REGION1,DEMAGRELCN02,2029,1.1773
REGION1,DEMAGRELCN02,2030,1.1777
REGION1,DEMAGRELCP02,2015,3.6604
REGION1,DEMAGRELCP02,2017,0.2106
REGION1,DEMAGRELCP02,2018,0.2109
REGION1,DEMAGRELCP02,2019,0.2111
REGION1,DEMAGRELCP02,2020,0.2114
REGION1,DEMAGRELCP02,2021,0.3335
REGION1,DEMAGRELCP02,2022,0.3338
REGION1,DEMAGRELCP02,2023,0.3341
REGION1,DEMAGRELCP02,2024,0.3343
REGION1,DEMAGRELCP02,2025,0.3345
REGION1,DEMAGRELCP02,2026,0.3347
REGION1,DEMAGRELCP02,2027,0.3349
REGION1,DEMAGRELCP02,2028,0.335
REGION1,DEMAGRELCP02,2029,0.3352
REGION1,DEMAGRELCP02,2030,0.3353
REGION1,DEMAGRELCS02,2015,50.3626
REGION1,DEMAGRELCS02,2017,2.8977
REGION1,DEMAGRELCS02,2018,2.9015
REGION1,DEMAGRELCS02,2019,2.905
REGION1,DEMAGRELCS02,2020,2.9082
REGION1,DEMAGRELCS02,2021,4.5891
REGION1,DEMAGRELCS02,2022,4.5928
REGION1,DEMAGRELCS02,2023,4.5962
REGION1,DEMAGRELCS02,2024,4.5994
REGION1,DEMAGRELCS02,2025,4.6023
REGION1,DEMAGRELCS02,2026,4.6049
REGION1,DEMAGRELCS02,2027,4.6073
REGION1,DEMAGRELCS02,2028,4.6095
REGION1,DEMAGRELCS02,2029,4.6115
REGION1,DEMAGRELCS02,2030,4.6134
REGION1,DEMCOMELCJ02,2015,919.6193
REGION1,DEMCOMELCJ02,2017,52.9111
REGION1,DEMCOMELCJ02,2018,52.9812
REGION1,DEMCOMELCJ02,2019,53.0455
REGION1,DEMCOMELCJ02,2020,53.1045
REGION1,DEMCOMELCJ02,2021,83.7962
REGION1,DEMCOMELCJ02,2022,83.8645
REGION1,DEMCOMELCJ02,2023,83.9271
REGION1,DEMCOMELCJ02,2024,83.9846
REGION1,DEMCOMELCJ02,2025,84.0373
REGION1,DEMCOMELCJ02,2026,84.0855
REGION1,DEMCOMELCJ02,2027,84.1295
REGION1,DEMCOMELCJ02,2028,84.1697
REGION1,DEMCOMELCJ02,2029,84.2064
REGION1,DEMCOMELCJ02,2030,84.2398
REGION1,DEMCOMELCK02,2015,97.1536
REGION1,DEMCOMELCK02,2017,5.5898
REGION1,DEMCOMELCK02,2018,5.5972
REGION1,DEMCOMELCK02,2019,5.604
REGION1,DEMCOMELCK02,2020,5.6102
REGION1,DEMCOMELCK02,2021,8.8527
REGION1,DEMCOMELCK02,2022,8.8599
REGION1,DEMCOMELCK02,2023,8.8665
REGION1,DEMCOMELCK02,2024,8.8726
REGION1,DEMCOMELCK02,2025,8.8782
REGION1,DEMCOMELCK02,2026,8.8832
REGION1,DEMCOMELCK02,2027,8.8879
REGION1,DEMCOMELCK02,2028,8.8921
REGION1,DEMCOMELCK02,2029,8.896
REGION1,DEMCOMELCK02,2030,8.8995
REGION1,DEMCOMELCL02,2015,118.6027
REGION1,DEMCOMELCL02,2017,6.8239
REGION1,DEMCOMELCL02,2018,6.8329
REGION1,DEMCOMELCL02,2019,6.8412
REGION1,DEMCOMELCL02,2020,6.8489
REGION1,DEMCOMELCL02,2021,10.8071
REGION1,DEMCOMELCL02,2022,10.8159
REGION1,DEMCOMELCL02,2023,10.824
REGION1,DEMCOMELCL02,2024,10.8314
REGION1,DEMCOMELCL02,2025,10.8382
REGION1,DEMCOMELCL02,2026,10.8444
REGION1,DEMCOMELCL02,2027,10.8501
REGION1,DEMCOMELCL02,2028,10.8553
REGION1,DEMCOMELCL02,2029,10.86
REGION1,DEMCOMELCL02,2030,10.8643
REGION1,DEMCOMELCM02,2015,18.0364
REGION1,DEMCOMELCM02,2017,1.0377
REGION1,DEMCOMELCM02,2018,1.0391
REGION1,DEMCOMELCM02,2019,1.0404
REGION1,DEMCOMELCM02,2020,1.0415
REGION1,DEMCOMELCM02,2021,1.6435
REGION1,DEMCOMELCM02,2022,1.6448
REGION1,DEMCOMELCM02,2023,1.6461
REGION1,DEMCOMELCM02,2024,1.6472
REGION1,DEMCOMELCM02,2025,1.6482
REGION1,DEMCOMELCM02,2026,1.6492
REGION1,DEMCOMELCM02,2027,1.65
REGION1,DEMCOMELCM02,2028,1.6508
REGION1,DEMCOMELCM02,2029,1.6515
REGION1,DEMCOMELCM02,2030,1.6522
REGION1,DEMCOMELCN02,2015,89.3626
REGION1,DEMCOMELCN02,2017,5.1416
REGION1,DEMCOMELCN02,2018,5.1484
REGION1,DEMCOMELCN02,2019,5.1546
REGION1,DEMCOMELCN02,2020,5.1603
REGION1,DEMCOMELCN02,2021,8.1428
REGION1,DEMCOMELCN02,2022,8.1494
REGION1,DEMCOMELCN02,2023,8.1555
REGION1,DEMCOMELCN02,2024,8.1611
REGION1,DEMCOMELCN02,2025,8.1662
REGION1,DEMCOMELCN02,2026,8.1709
REGION1,DEMCOMELCN02,2027,8.1752
REGION1,DEMCOMELCN02,2028,8.1791
REGION1,DEMCOMELCN02,2029,8.1826
REGION1,DEMCOMELCN02,2030,8.1859
REGION1,DEMCOMELCP02,2015,25.4419
REGION1,DEMCOMELCP02,2017,1.4638
REGION1,DEMCOMELCP02,2018,1.4658
REGION1,DEMCOMELCP02,2019,1.4675
REGION1,DEMCOMELCP02,2020,1.4692
REGION1,DEMCOMELCP02,2021,2.3183
REGION1,DEMCOMELCP02,2022,2.3202
REGION1,DEMCOMELCP02,2023,2.3219
REGION1,DEMCOMELCP02,2024,2.3235
REGION1,DEMCOMELCP02,2025,2.325
REGION1,DEMCOMELCP02,2026,2.3263
REGION1,DEMCOMELCP02,2027,2.3275
REGION1,DEMCOMELCP02,2028,2.3286
REGION1,DEMCOMELCP02,2029,2.3296
REGION1,DEMCOMELCP02,2030,2.3306
REGION1,DEMCOMELCS02,2015,350.0489
REGION1,DEMCOMELCS02,2017,20.1404
REGION1,DEMCOMELCS02,2018,20.167
REGION1,DEMCOMELCS02,2019,20.1915
REGION1,DEMCOMELCS02,2020,20.214
REGION1,DEMCOMELCS02,2021,31.8966
REGION1,DEMCOMELCS02,2022,31.9226
REGION1,DEMCOMELCS02,2023,31.9465
REGION1,DEMCOMELCS02,2024,31.9684
REGION1,DEMCOMELCS02,2025,31.9884
REGION1,DEMCOMELCS02,2026,32.0068
REGION1,DEMCOMELCS02,2027,32.0235
REGION1,DEMCOMELCS02,2028,32.0388
REGION1,DEMCOMELCS02,2029,32.0528
REGION1,DEMCOMELCS02,2030,32.0655
REGION1,DEMINDELCJ02,2015,1155.6837
REGION1,DEMINDELCJ02,2017,66.4933
REGION1,DEMINDELCJ02,2018,66.5814
REGION1,DEMINDELCJ02,2019,66.6622
REGION1,DEMINDELCJ02,2020,66.7363
REGION1,DEMINDELCJ02,2021,105.3065
REGION1,DEMINDELCJ02,2022,105.3923
REGION1,DEMINDELCJ02,2023,105.4711
REGION1,DEMINDELCJ02,2024,105.5433
REGION1,DEMINDELCJ02,2025,105.6095
REGION1,DEMINDELCJ02,2026,105.6701
REGION1,DEMINDELCJ02,2027,105.7254
REGION1,DEMINDELCJ02,2028,105.7759
REGION1,DEMINDELCJ02,2029,105.822
REGION1,DEMINDELCJ02,2030,105.8639
REGION1,DEMINDELCK02,2015,122.0927
REGION1,DEMINDELCK02,2017,7.0247
REGION1,DEMINDELCK02,2018,7.034
REGION1,DEMINDELCK02,2019,7.0426
REGION1,DEMINDELCK02,2020,7.0504
REGION1,DEMINDELCK02,2021,11.1252
REGION1,DEMINDELCK02,2022,11.1342
REGION1,DEMINDELCK02,2023,11.1425
REGION1,DEMINDELCK02,2024,11.1502
REGION1,DEMINDELCK02,2025,11.1572
REGION1,DEMINDELCK02,2026,11.1636
REGION1,DEMINDELCK02,2027,11.1694
REGION1,DEMINDELCK02,2028,11.1747
REGION1,DEMINDELCK02,2029,11.1796
REGION1,DEMINDELCK02,2030,11.184
REGION1,DEMINDELCL02,2015,149.0477
REGION1,DEMINDELCL02,2017,8.5756
REGION1,DEMINDELCL02,2018,8.587
REGION1,DEMINDELCL02,2019,8.5974
REGION1,DEMINDELCL02,2020,8.6069
REGION1,DEMINDELCL02,2021,13.5813
REGION1,DEMINDELCL02,2022,13.5924
REGION1,DEMINDELCL02,2023,13.6025
REGION1,DEMINDELCL02,2024,13.6118
REGION1,DEMINDELCL02,2025,13.6204
REGION1,DEMINDELCL02,2026,13.6282
REGION1,DEMINDELCL02,2027,13.6353
REGION1,DEMINDELCL02,2028,13.6418
REGION1,DEMINDELCL02,2029,13.6478
REGION1,DEMINDELCL02,2030,13.6532
REGION1,DEMINDELCM02,2015,22.6663
REGION1,DEMINDELCM02,2017,1.3041
REGION1,DEMINDELCM02,2018,1.3059
REGION1,DEMINDELCM02,2019,1.3074
REGION1,DEMINDELCM02,2020,1.3089
REGION1,DEMINDELCM02,2021,2.0654
REGION1,DEMINDELCM02,2022,2.067
REGION1,DEMINDELCM02,2023,2.0686
REGION1,DEMINDELCM02,2024,2.07
REGION1,DEMINDELCM02,2025,2.0713
REGION1,DEMINDELCM02,2026,2.0725
REGION1,DEMINDELCM02,2027,2.0736
REGION1,DEMINDELCM02,2028,2.0746
REGION1,DEMINDELCM02,2029,2.0755
REGION1,DEMINDELCM02,2030,2.0763
REGION1,DEMINDELCN02,2015,112.3018
REGION1,DEMINDELCN02,2017,6.4614
REGION1,DEMINDELCN02,2018,6.4699
REGION1,DEMINDELCN02,2019,6.4778
REGION1,DEMINDELCN02,2020,6.485
REGION1,DEMINDELCN02,2021,10.233
REGION1,DEMINDELCN02,2022,10.2413
REGION1,DEMINDELCN02,2023,10.249
REGION1,DEMINDELCN02,2024,10.256
REGION1,DEMINDELCN02,2025,10.2624
REGION1,DEMINDELCN02,2026,10.2683
REGION1,DEMINDELCN02,2027,10.2737
REGION1,DEMINDELCN02,2028,10.2786
REGION1,DEMINDELCN02,2029,10.2831
REGION1,DEMINDELCN02,2030,10.2872
REGION1,DEMINDELCP02,2015,31.9728
REGION1,DEMINDELCP02,2017,1.8396
REGION1,DEMINDELCP02,2018,1.842
REGION1,DEMINDELCP02,2019,1.8443
REGION1,DEMINDELCP02,2020,1.8463
REGION1,DEMINDELCP02,2021,2.9134
REGION1,DEMINDELCP02,2022,2.9158
REGION1,DEMINDELCP02,2023,2.9179
REGION1,DEMINDELCP02,2024,2.9199
REGION1,DEMINDELCP02,2025,2.9218
REGION1,DEMINDELCP02,2026,2.9234
REGION1,DEMINDELCP02,2027,2.925
REGION1,DEMINDELCP02,2028,2.9264
REGION1,DEMINDELCP02,2029,2.9276
REGION1,DEMINDELCP02,2030,2.9288
REGION1,DEMINDELCS02,2015,439.9057
REGION1,DEMINDELCS02,2017,25.3104
REGION1,DEMINDELCS02,2018,25.3439
REGION1,DEMINDELCS02,2019,25.3747
REGION1,DEMINDELCS02,2020,25.4029
REGION1,DEMINDELCS02,2021,40.0845
REGION1,DEMINDELCS02,2022,40.1171
REGION1,DEMINDELCS02,2023,40.1471
REGION1,DEMINDELCS02,2024,40.1746
REGION1,DEMINDELCS02,2025,40.1998
REGION1,DEMINDELCS02,2026,40.2228
REGION1,DEMINDELCS02,2027,40.2439
REGION1,DEMINDELCS02,2028,40.2631
REGION1,DEMINDELCS02,2029,40.2807
REGION1,DEMINDELCS02,2030,40.2966
REGION1,DEMRESELCJ02,2015,4465.4763
REGION1,DEMRESELCJ02,2017,256.9252
REGION1,DEMRESELCJ02,2018,257.2654
REGION1,DEMRESELCJ02,2019,257.5778
REGION1,DEMRESELCJ02,2020,257.8643
REGION1,DEMRESELCJ02,2021,406.8967
REGION1,DEMRESELCJ02,2022,407.228
REGION1,DEMRESELCJ02,2023,407.5324
REGION1,DEMRESELCJ02,2024,407.8116
REGION1,DEMRESELCJ02,2025,408.0673
REGION1,DEMRESELCJ02,2026,408.3013
REGION1,DEMRESELCJ02,2027,408.5151
REGION1,DEMRESELCJ02,2028,408.7103
REGION1,DEMRESELCJ02,2029,408.8883
REGION1,DEMRESELCJ02,2030,409.0504
REGION1,DEMRESELCK02,2015,471.757
REGION1,DEMRESELCK02,2017,27.143
REGION1,DEMRESELCK02,2018,27.1789
REGION1,DEMRESELCK02,2019,27.2119
REGION1,DEMRESELCK02,2020,27.2422
REGION1,DEMRESELCK02,2021,42.9868
REGION1,DEMRESELCK02,2022,43.0218
REGION1,DEMRESELCK02,2023,43.0539
REGION1,DEMRESELCK02,2024,43.0834
REGION1,DEMRESELCK02,2025,43.1104
REGION1,DEMRESELCK02,2026,43.1352
REGION1,DEMRESELCK02,2027,43.1577
REGION1,DEMRESELCK02,2028,43.1784
REGION1,DEMRESELCK02,2029,43.1972
REGION1,DEMRESELCK02,2030,43.2143
REGION1,DEMRESELCL02,2015,575.9093
REGION1,DEMRESELCL02,2017,33.1355
REGION1,DEMRESELCL02,2018,33.1793
REGION1,DEMRESELCL02,2019,33.2196
REGION1,DEMRESELCL02,2020,33.2566
REGION1,DEMRESELCL02,2021,52.4772
REGION1,DEMRESELCL02,2022,52.5199
REGION1,DEMRESELCL02,2023,52.5592
REGION1,DEMRESELCL02,2024,52.5952
REGION1,DEMRESELCL02,2025,52.6282
REGION1,DEMRESELCL02,2026,52.6583
REGION1,DEMRESELCL02,2027,52.6859
REGION1,DEMRESELCL02,2028,52.7111
REGION1,DEMRESELCL02,2029,52.734
REGION1,DEMRESELCL02,2030,52.7549
REGION1,DEMRESELCM02,2015,87.5808
REGION1,DEMRESELCM02,2017,5.039
REGION1,DEMRESELCM02,2018,5.0457
REGION1,DEMRESELCM02,2019,5.0518
REGION1,DEMRESELCM02,2020,5.0575
REGION1,DEMRESELCM02,2021,7.9804
REGION1,DEMRESELCM02,2022,7.9869
REGION1,DEMRESELCM02,2023,7.9929
REGION1,DEMRESELCM02,2024,7.9984
REGION1,DEMRESELCM02,2025,8.0034
REGION1,DEMRESELCM02,2026,8.008
REGION1,DEMRESELCM02,2027,8.0122
REGION1,DEMRESELCM02,2028,8.016
REGION1,DEMRESELCM02,2029,8.0195
REGION1,DEMRESELCM02,2030,8.0226
REGION1,DEMRESELCN02,2015,433.9256
REGION1,DEMRESELCN02,2017,24.9663
REGION1,DEMRESELCN02,2018,24.9994
REGION1,DEMRESELCN02,2019,25.0297
REGION1,DEMRESELCN02,2020,25.0576
REGION1,DEMRESELCN02,2021,39.5395
REGION1,DEMRESELCN02,2022,39.5717
REGION1,DEMRESELCN02,2023,39.6013
REGION1,DEMRESELCN02,2024,39.6285
REGION1,DEMRESELCN02,2025,39.6533
REGION1,DEMRESELCN02,2026,39.676
REGION1,DEMRESELCN02,2027,39.6968
REGION1,DEMRESELCN02,2028,39.7158
REGION1,DEMRESELCN02,2029,39.7331
REGION1,DEMRESELCN02,2030,39.7488
