r,t,f,y,ProductionByTechnologyAnnual
REGION1,DEMAGRDSL,AGRDSL,2015,78.13
REGION1,DEMAGRDSL,AGRDSL,2016,78.13
REGION1,DEMAGRDSL,AGRDSL,2017,82.6
REGION1,DEMAGRDSL,AGRDSL,2018,87.08
REGION1,DEMAGRDSL,AGRDSL,2019,91.56
REGION1,DEMAGRDSL,AGRDSL,2020,96.03
REGION1,DEMAGRDSL,AGRDSL,2021,103.09
REGION1,DEMAGRDSL,AGRDSL,2022,110.14
REGION1,DEMAGRDSL,AGRDSL,2023,117.19
REGION1,DEMAGRDSL,AGRDSL,2024,124.23
REGION1,DEMAGRDSL,AGRDSL,2025,131.28
REGION1,DEMAGRDSL,AGRDSL,2026,138.32
REGION1,DEMAGRDSL,AGRDSL,2027,145.37
REGION1,DEMAGRDSL,AGRDSL,2028,152.41
REGION1,DEMAGRDSL,AGRDSL,2029,159.45
REGION1,DEMAGRDSL,AGRDSL,2030,166.49
REGION1,DEMAGRELCJ02,AGRELCJ02,2015,5.5122
REGION1,DEMAGRELCJ02,AGRELCJ02,2016,5.5122
REGION1,DEMAGRELCJ02,AGRELCJ02,2017,5.8283
REGION1,DEMAGRELCJ02,AGRELCJ02,2018,6.1442
REGION1,DEMAGRELCJ02,AGRELCJ02,2019,6.46
REGION1,DEMAGRELCJ02,AGRELCJ02,2020,6.7758
REGION1,DEMAGRELCJ02,AGRELCJ02,2021,7.2734
REGION1,DEMAGRELCJ02,AGRELCJ02,2022,7.7709
REGION1,DEMAGRELCJ02,AGRELCJ02,2023,8.2683
REGION1,DEMAGRELCJ02,AGRELCJ02,2024,8.7655
REGION1,DEMAGRELCJ02,AGRELCJ02,2025,9.2626
REGION1,DEMAGRELCJ02,AGRELCJ02,2026,9.7595
REGION1,DEMAGRELCJ02,AGRELCJ02,2027,10.2565
REGION1,DEMAGRELCJ02,AGRELCJ02,2028,10.7533
REGION1,DEMAGRELCJ02,AGRELCJ02,2029,11.2499
REGION1,DEMAGRELCJ02,AGRELCJ02,2030,11.7466
REGION1,DEMAGRELCK02,AGRELCK02,2015,0.5823
REGION1,DEMAGRELCK02,AGRELCK02,2016,0.5823
REGION1,DEMAGRELCK02,AGRELCK02,2017,0.6157
REGION1,DEMAGRELCK02,AGRELCK02,2018,0.6491
REGION1,DEMAGRELCK02,AGRELCK02,2019,0.6825
REGION1,DEMAGRELCK02,AGRELCK02,2020,0.7158
REGION1,DEMAGRELCK02,AGRELCK02,2021,0.7684
REGION1,DEMAGRELCK02,AGRELCK02,2022,0.821
REGION1,DEMAGRELCK02,AGRELCK02,2023,0.8735
REGION1,DEMAGRELCK02,AGRELCK02,2024,0.926
REGION1,DEMAGRELCK02,AGRELCK02,2025,0.9786
REGION1,DEMAGRELCK02,AGRELCK02,2026,1.0311
REGION1,DEMAGRELCK02,AGRELCK02,2027,1.0835
REGION1,DEMAGRELCK02,AGRELCK02,2028,1.136
REGION1,DEMAGRELCK02,AGRELCK02,2029,1.1885
REGION1,DEMAGRELCK02,AGRELCK02,2030,1.241
REGION1,DEMAGRELCL02,AGRELCL02,2015,0.7109
REGION1,DEMAGRELCL02,AGRELCL02,2016,0.7109
REGION1,DEMAGRELCL02,AGRELCL02,2017,0.7517
REGION1,DEMAGRELCL02,AGRELCL02,2018,0.7924
REGION1,DEMAGRELCL02,AGRELCL02,2019,0.8332
REGION1,DEMAGRELCL02,AGRELCL02,2020,0.8739
REGION1,DEMAGRELCL02,AGRELCL02,2021,0.9381
REGION1,DEMAGRELCL02,AGRELCL02,2022,1.0022
REGION1,DEMAGRELCL02,AGRELCL02,2023,1.0664
REGION1,DEMAGRELCL02,AGRELCL02,2024,1.1305
REGION1,DEMAGRELCL02,AGRELCL02,2025,1.1946
REGION1,DEMAGRELCL02,AGRELCL02,2026,1.2587
REGION1,DEMAGRELCL02,AGRELCL02,2027,1.3228
REGION1,DEMAGRELCL02,AGRELCL02,2028,1.3869
REGION1,DEMAGRELCL02,AGRELCL02,2029,1.4509
REGION1,DEMAGRELCL02,AGRELCL02,2030,1.5149
REGION1,DEMAGRELCM02,AGRELCM02,2015,0.1081
REGION1,DEMAGRELCM02,AGRELCM02,2016,0.1081
REGION1,DEMAGRELCM02,AGRELCM02,2017,0.1143
REGION1,DEMAGRELCM02,AGRELCM02,2018,0.1205
REGION1,DEMAGRELCM02,AGRELCM02,2019,0.1267
REGION1,DEMAGRELCM02,AGRELCM02,2020,0.1329
REGION1,DEMAGRELCM02,AGRELCM02,2021,0.1427
REGION1,DEMAGRELCM02,AGRELCM02,2022,0.1524
REGION1,DEMAGRELCM02,AGRELCM02,2023,0.1622
REGION1,DEMAGRELCM02,AGRELCM02,2024,0.1719
REGION1,DEMAGRELCM02,AGRELCM02,2025,0.1817
REGION1,DEMAGRELCM02,AGRELCM02,2026,0.1914
REGION1,DEMAGRELCM02,AGRELCM02,2027,0.2012
REGION1,DEMAGRELCM02,AGRELCM02,2028,0.2109
REGION1,DEMAGRELCM02,AGRELCM02,2029,0.2206
REGION1,DEMAGRELCM02,AGRELCM02,2030,0.2304
REGION1,DEMAGRELCN02,AGRELCN02,2015,0.5356
REGION1,DEMAGRELCN02,AGRELCN02,2016,0.5356
REGION1,DEMAGRELCN02,AGRELCN02,2017,0.5664
REGION1,DEMAGRELCN02,AGRELCN02,2018,0.5971
REGION1,DEMAGRELCN02,AGRELCN02,2019,0.6278
REGION1,DEMAGRELCN02,AGRELCN02,2020,0.6585
REGION1,DEMAGRELCN02,AGRELCN02,2021,0.7068
REGION1,DEMAGRELCN02,AGRELCN02,2022,0.7551
REGION1,DEMAGRELCN02,AGRELCN02,2023,0.8034
REGION1,DEMAGRELCN02,AGRELCN02,2024,0.8518
REGION1,DEMAGRELCN02,AGRELCN02,2025,0.9001
REGION1,DEMAGRELCN02,AGRELCN02,2026,0.9484
REGION1,DEMAGRELCN02,AGRELCN02,2027,0.9966
REGION1,DEMAGRELCN02,AGRELCN02,2028,1.0449
REGION1,DEMAGRELCN02,AGRELCN02,2029,1.0932
REGION1,DEMAGRELCN02,AGRELCN02,2030,1.1414
REGION1,DEMAGRELCP02,AGRELCP02,2015,0.1525
REGION1,DEMAGRELCP02,AGRELCP02,2016,0.1525
REGION1,DEMAGRELCP02,AGRELCP02,2017,0.1612
REGION1,DEMAGRELCP02,AGRELCP02,2018,0.17
REGION1,DEMAGRELCP02,AGRELCP02,2019,0.1787
REGION1,DEMAGRELCP02,AGRELCP02,2020,0.1874
REGION1,DEMAGRELCP02,AGRELCP02,2021,0.2013
REGION1,DEMAGRELCP02,AGRELCP02,2022,0.215
REGION1,DEMAGRELCP02,AGRELCP02,2023,0.2288
REGION1,DEMAGRELCP02,AGRELCP02,2024,0.2425
REGION1,DEMAGRELCP02,AGRELCP02,2025,0.2563
REGION1,DEMAGRELCP02,AGRELCP02,2026,0.27
REGION1,DEMAGRELCP02,AGRELCP02,2027,0.2837
REGION1,DEMAGRELCP02,AGRELCP02,2028,0.2975
REGION1,DEMAGRELCP02,AGRELCP02,2029,0.3113
REGION1,DEMAGRELCP02,AGRELCP02,2030,0.325
REGION1,DEMAGRELCS02,AGRELCS02,2015,2.0982
REGION1,DEMAGRELCS02,AGRELCS02,2016,2.0982
REGION1,DEMAGRELCS02,AGRELCS02,2017,2.2185
REGION1,DEMAGRELCS02,AGRELCS02,2018,2.3388
REGION1,DEMAGRELCS02,AGRELCS02,2019,2.459
REGION1,DEMAGRELCS02,AGRELCS02,2020,2.5792
REGION1,DEMAGRELCS02,AGRELCS02,2021,2.7686
REGION1,DEMAGRELCS02,AGRELCS02,2022,2.958
REGION1,DEMAGRELCS02,AGRELCS02,2023,3.1473
REGION1,DEMAGRELCS02,AGRELCS02,2024,3.3365
REGION1,DEMAGRELCS02,AGRELCS02,2025,3.5258
REGION1,DEMAGRELCS02,AGRELCS02,2026,3.7149
REGION1,DEMAGRELCS02,AGRELCS02,2027,3.9041
REGION1,DEMAGRELCS02,AGRELCS02,2028,4.0932
REGION1,DEMAGRELCS02,AGRELCS02,2029,4.2822
REGION1,DEMAGRELCS02,AGRELCS02,2030,4.4713
REGION1,DEMAGRSURJWA,AGRWATJWA,2015,19.0268
REGION1,DEMAGRSURJWA,AGRWATJWA,2016,20.2482
REGION1,DEMAGRSURJWA,AGRWATJWA,2017,20.5971
REGION1,DEMAGRSURJWA,AGRWATJWA,2018,20.0657
REGION1,DEMAGRSURJWA,AGRWATJWA,2019,19.8907
REGION1,DEMAGRSURJWA,AGRWATJWA,2020,18.9114
REGION1,DEMAGRSURJWA,AGRWATJWA,2021,17.8652
REGION1,DEMAGRSURJWA,AGRWATJWA,2022,16.6191
REGION1,DEMAGRSURJWA,AGRWATJWA,2023,15.0222
REGION1,DEMAGRSURJWA,AGRWATJWA,2024,13.6194
REGION1,DEMAGRSURJWA,AGRWATJWA,2025,12.1609
REGION1,DEMAGRSURJWA,AGRWATJWA,2026,10.1896
REGION1,DEMAGRSURJWA,AGRWATJWA,2027,8.8153
REGION1,DEMAGRSURJWA,AGRWATJWA,2028,7.4833
REGION1,DEMAGRSURJWA,AGRWATJWA,2029,5.8376
REGION1,DEMAGRSURJWA,AGRWATJWA,2030,3.681
REGION1,DEMAGRSURKAN,AGRWATKAN,2021,0.0004
REGION1,DEMAGRSURMLU,AGRWATMLU,2019,0.0326
REGION1,DEMAGRSURMLU,AGRWATMLU,2020,0.0263
REGION1,DEMAGRSURMLU,AGRWATMLU,2021,0.2525
REGION1,DEMAGRSURMLU,AGRWATMLU,2022,1.2262
REGION1,DEMAGRSURMLU,AGRWATMLU,2023,2.2715
REGION1,DEMAGRSURMLU,AGRWATMLU,2024,3.2145
REGION1,DEMAGRSURMLU,AGRWATMLU,2025,4.1553
REGION1,DEMAGRSURMLU,AGRWATMLU,2026,5.1528
REGION1,DEMAGRSURMLU,AGRWATMLU,2027,6.0124
