r,t,y,SalvageValue
REGION1,DEMAGRELCJ02,2015,525.3048
REGION1,DEMAGRELCJ02,2017,30.2239
REGION1,DEMAGRELCJ02,2018,30.2639
REGION1,DEMAGRELCJ02,2019,30.3006
REGION1,DEMAGRELCJ02,2020,30.3344
REGION1,DEMAGRELCJ02,2021,47.8661
REGION1,DEMAGRELCJ02,2022,47.905
REGION1,DEMAGRELCJ02,2023,47.9408
REGION1,DEMAGRELCJ02,2024,47.9737
REGION1,DEMAGRELCJ02,2025,48.0038
REGION1,DEMAGRELCJ02,2026,48.0313
REGION1,DEMAGRELCJ02,2027,48.0565
REGION1,DEMAGRELCJ02,2028,48.0794
REGION1,DEMAGRELCJ02,2029,48.1004
REGION1,DEMAGRELCJ02,2030,48.1194
REGION1,DEMAGRELCK02,2015,55.496
REGION1,DEMAGRELCK02,2017,3.193
REGION1,DEMAGRELCK02,2018,3.1972
REGION1,DEMAGRELCK02,2019,3.2011
REGION1,DEMAGRELCK02,2020,3.2047
REGION1,DEMAGRELCK02,2021,5.0568
REGION1,DEMAGRELCK02,2022,5.0609
REGION1,DEMAGRELCK02,2023,5.0647
REGION1,DEMAGRELCK02,2024,5.0682
REGION1,DEMAGRELCK02,2025,5.0714
REGION1,DEMAGRELCK02,2026,5.0743
REGION1,DEMAGRELCK02,2027,5.0769
REGION1,DEMAGRELCK02,2028,5.0794
REGION1,DEMAGRELCK02,2029,5.0816
REGION1,DEMAGRELCK02,2030,5.0836
REGION1,DEMAGRELCL02,2015,67.7482
REGION1,DEMAGRELCL02,2017,3.898
REGION1,DEMAGRELCL02,2018,3.9031
REGION1,DEMAGRELCL02,2019,3.9079
REGION1,DEMAGRELCL02,2020,3.9122
REGION1,DEMAGRELCL02,2021,6.1733
REGION1,DEMAGRELCL02,2022,6.1783
REGION1,DEMAGRELCL02,2023,6.1829
REGION1,DEMAGRELCL02,2024,6.1871
REGION1,DEMAGRELCL02,2025,6.191
REGION1,DEMAGRELCL02,2026,6.1946
REGION1,DEMAGRELCL02,2027,6.1978
REGION1,DEMAGRELCL02,2028,6.2008
REGION1,DEMAGRELCL02,2029,6.2035
REGION1,DEMAGRELCL02,2030,6.2059
REGION1,DEMAGRELCM02,2015,10.3027
REGION1,DEMAGRELCM02,2017,0.5928
REGION1,DEMAGRELCM02,2018,0.5936
REGION1,DEMAGRELCM02,2019,0.5943
REGION1,DEMAGRELCM02,2020,0.5949
REGION1,DEMAGRELCM02,2021,0.9388
REGION1,DEMAGRELCM02,2022,0.9396
REGION1,DEMAGRELCM02,2023,0.9403
REGION1,DEMAGRELCM02,2024,0.9409
REGION1,DEMAGRELCM02,2025,0.9415
REGION1,DEMAGRELCM02,2026,0.942
REGION1,DEMAGRELCM02,2027,0.9425
REGION1,DEMAGRELCM02,2028,0.943
REGION1,DEMAGRELCM02,2029,0.9434
REGION1,DEMAGRELCM02,2030,0.9438
REGION1,DEMAGRELCN02,2015,51.0457
REGION1,DEMAGRELCN02,2017,2.937
REGION1,DEMAGRELCN02,2018,2.9408
REGION1,DEMAGRELCN02,2019,2.9444
REGION1,DEMAGRELCN02,2020,2.9477
REGION1,DEMAGRELCN02,2021,4.6513
REGION1,DEMAGRELCN02,2022,4.6551
REGION1,DEMAGRELCN02,2023,4.6586
REGION1,DEMAGRELCN02,2024,4.6618
REGION1,DEMAGRELCN02,2025,4.6647
REGION1,DEMAGRELCN02,2026,4.6674
REGION1,DEMAGRELCN02,2027,4.6698
REGION1,DEMAGRELCN02,2028,4.672
REGION1,DEMAGRELCN02,2029,4.6741
REGION1,DEMAGRELCN02,2030,4.6759
REGION1,DEMAGRELCP02,2015,14.5329
