r,t,y,SalvageValue
REGION1,PWRCOAA01,2022,13.7517
REGION1,PWRCOAA01,2023,26.2533
REGION1,PWRCOAA01,2024,37.6184
REGION1,PWRCOAA01,2025,47.9502
REGION1,PWRCOAA01,2026,57.3429
REGION1,PWRCOAA01,2027,65.8816
REGION1,PWRCOAA01,2028,73.6441
REGION1,PWRCOAA01,2029,80.7009
REGION1,PWRCOAA01,2030,87.1162
REGION1,PWRCOAA01,2031,92.9483
REGION1,PWRCOAA01,2032,98.2501
REGION1,PWRCOAA01,2033,103.07
REGION1,PWRCOAA01,2034,107.4518
REGION1,PWRCOAA01,2035,111.4352
REGION1,PWRCOAA01,2036,115.0564
REGION1,PWRCOAA01,2037,118.3485
REGION1,PWRCOAA01,2038,121.3412
REGION1,PWRCOAA01,2039,124.062
REGION1,PWRCOAA01,2040,126.5353
REGION1,PWRCOAA01,2041,128.7838
REGION1,PWRCOAA01,2042,130.8279
REGION1,PWRCOAA01,2043,132.6862
REGION1,PWRCOAA01,2044,134.3756
REGION1,PWRCOAA01,2045,135.9113
REGION1,PWRCOAA01,2046,137.3075
REGION1,PWRCOAA01,2047,138.5767
REGION1,PWRCOAA01,2048,139.7306
REGION1,PWRCOAA01,2049,140.7795
REGION1,PWRCOAA01,2050,141.7331
REGION1,PWRCOAE01,2022,19.7211
REGION1,PWRCOAE01,2023,37.6494
REGION1,PWRCOAE01,2024,53.9478
REGION1,PWRCOAE01,2025,68.7645
REGION1,PWRCOAE01,2026,82.2343
REGION1,PWRCOAE01,2027,94.4796
REGION1,PWRCOAE01,2028,105.6116
REGION1,PWRCOAE01,2029,115.7316
REGION1,PWRCOAE01,2030,124.9317
REGION1,PWRCOAE01,2031,133.2954
REGION1,PWRCOAE01,2032,2.8154
REGION1,PWRCOAE01,2033,147.8108
REGION1,PWRCOAE01,2034,154.0946
REGION1,PWRCOAE01,2035,159.8071
REGION1,PWRCOAE01,2036,165.0002
REGION1,PWRCOAE01,2037,169.7213
REGION1,PWRCOAE01,2038,174.0132
REGION1,PWRCOAE01,2039,177.9149
REGION1,PWRCOAE01,2040,181.4619
REGION1,PWRCOAE01,2041,184.6865
REGION1,PWRCOAE01,2042,187.6179
REGION1,PWRCOAE01,2043,190.2828
REGION1,PWRCOAE01,2044,192.7055
REGION1,PWRCOAE01,2045,194.9079
REGION1,PWRCOAE01,2046,196.9101
REGION1,PWRCOAE01,2047,198.7303
REGION1,PWRCOAE01,2048,200.385
REGION1,PWRCOAE01,2049,201.8893
REGION1,PWRCOAE01,2050,203.2568
REGION1,PWRCOAF01,2024,75.2367
REGION1,PWRCOAF01,2025,95.9005
REGION1,PWRCOAF01,2026,14.6605
REGION1,PWRCOAF01,2027,131.7632
REGION1,PWRCOAF01,2028,147.2882
REGION1,PWRCOAF01,2029,161.4018
REGION1,PWRCOAF01,2030,174.2324
REGION1,PWRCOAF01,2031,185.8965
REGION1,PWRCOAF01,2032,196.5003
REGION1,PWRCOAF01,2033,206.1401
REGION1,PWRCOAF01,2034,214.9035
REGION1,PWRCOAF01,2035,222.8703
REGION1,PWRCOAF01,2036,230.1128
REGION1,PWRCOAF01,2037,236.6969
REGION1,PWRCOAF01,2038,242.6825
REGION1,PWRCOAF01,2039,248.1239
REGION1,PWRCOAF01,2040,253.0706
REGION1,PWRCOAF01,2041,257.5677
REGION1,PWRCOAF01,2042,261.6559
REGION1,PWRCOAF01,2043,265.3724
REGION1,PWRCOAF01,2044,268.7511
REGION1,PWRCOAF01,2045,271.8227
REGION1,PWRCOAF01,2046,274.615
REGION1,PWRCOAF01,2047,277.1534
REGION1,PWRCOAF01,2048,279.4611
REGION1,PWRCOAF01,2049,281.559
REGION1,PWRCOAF01,2050,283.4662
REGION1,PWRCOAF02,2043,253.9543
REGION1,PWRCOAF02,2044,331.8612
REGION1,PWRCOAF02,2045,631.8769
REGION1,PWRCOAF02,2046,692.3147
REGION1,PWRCOAF02,2047,698.7143
REGION1,PWRCOAF02,2048,704.5321
REGION1,PWRCOAF02,2049,709.8209
REGION1,PWRCOAF02,2050,714.629
REGION1,PWRDSLD01,2025,27.3377
REGION1,PWRDSLD01,2029,46.0097
REGION1,PWRDSLD01,2030,49.6672
REGION1,PWRDSLD01,2031,52.9922
REGION1,PWRDSLD01,2033,58.7629
REGION1,PWRDSLD01,2034,61.2611
REGION1,PWRDSLD01,2035,63.5321
REGION1,PWRDSLD01,2036,65.5967
REGION1,PWRDSLD01,2037,67.4736
REGION1,PWRDSLD01,2038,69.1798
REGION1,PWRDSLD01,2039,70.731
REGION1,PWRDSLD01,2040,72.1411
REGION1,PWRDSLD01,2041,73.423
REGION1,PWRDSLD01,2042,74.5884
REGION1,PWRDSLD01,2043,75.6479
REGION1,PWRDSLD01,2044,76.611
REGION1,PWRDSLD01,2045,77.4866
REGION1,PWRDSLD01,2046,78.2826
REGION1,PWRDSLD01,2047,79.0062
REGION1,PWRDSLD01,2048,79.6641
REGION1,PWRDSLD01,2049,80.2621
REGION1,PWRDSLD01,2050,80.8058
REGION1,PWRDSLE01,2024,21.4472
REGION1,PWRDSLE01,2025,27.3377
REGION1,PWRDSLE01,2029,46.0097
REGION1,PWRDSLE01,2030,49.6672
REGION1,PWRDSLE01,2031,52.9922
REGION1,PWRDSLE01,2033,58.7629
REGION1,PWRDSLE01,2034,61.2611
REGION1,PWRDSLE01,2035,63.5321
REGION1,PWRDSLE01,2036,65.5967
REGION1,PWRDSLE01,2037,67.4736
REGION1,PWRDSLE01,2038,69.1798
REGION1,PWRDSLE01,2039,70.731
REGION1,PWRDSLE01,2040,72.1411
REGION1,PWRDSLE01,2041,73.423
REGION1,PWRDSLE01,2042,74.5884
REGION1,PWRDSLE01,2043,75.6479
REGION1,PWRDSLE01,2044,76.611
REGION1,PWRDSLE01,2045,77.4866
REGION1,PWRDSLE01,2046,78.2826
REGION1,PWRDSLE01,2047,79.0062
REGION1,PWRDSLE01,2048,79.6641
REGION1,PWRDSLE01,2049,80.2621
REGION1,PWRDSLE01,2050,80.8058
REGION1,PWRDSLF01,2025,27.3377
REGION1,PWRDSLF01,2029,46.0097
REGION1,PWRDSLF01,2030,49.6672
REGION1,PWRDSLF01,2031,52.9922
REGION1,PWRDSLF01,2033,58.7629
REGION1,PWRDSLF01,2034,61.2611
REGION1,PWRDSLF01,2035,63.5321
REGION1,PWRDSLF01,2036,65.5967
REGION1,PWRDSLF01,2037,67.4736
REGION1,PWRDSLF01,2038,69.1798
REGION1,PWRDSLF01,2039,70.731
REGION1,PWRDSLF01,2040,72.1411
REGION1,PWRDSLF01,2041,73.423
REGION1,PWRDSLF01,2042,74.5884
REGION1,PWRDSLF01,2043,75.6479
REGION1,PWRDSLF01,2044,76.611
REGION1,PWRDSLF01,2045,77.4866
REGION1,PWRDSLF01,2046,78.2826
REGION1,PWRDSLF01,2047,79.0062
REGION1,PWRDSLF01,2048,79.6641
REGION1,PWRDSLF01,2049,80.2621
REGION1,PWRDSLF01,2050,80.8058
REGION1,PWRDSLG01,2025,27.3377
REGION1,PWRDSLG01,2029,46.0097
REGION1,PWRDSLG01,2030,49.6672
REGION1,PWRDSLG01,2031,52.9922
REGION1,PWRDSLG01,2033,58.7629
REGION1,PWRDSLG01,2034,61.2611
REGION1,PWRDSLG01,2035,63.5321
REGION1,PWRDSLG01,2036,65.5967
REGION1,PWRDSLG01,2037,67.4736
REGION1,PWRDSLG01,2038,69.1798
REGION1,PWRDSLG01,2039,70.731
REGION1,PWRDSLG01,2040,72.1411
REGION1,PWRDSLG01,2041,73.423
REGION1,PWRDSLG01,2042,74.5884
REGION1,PWRDSLG01,2043,75.6479
REGION1,PWRDSLG01,2044,76.611
