r,t,TotalTechnologyModelPeriodActivity
REGION1,DEMPWRBIO,171.3147
REGION1,DEMPWRCOA,15426.746
REGION1,DEMPWRDSL,82.511
REGION1,DEMPWRGEO,10104.851
REGION1,DEMPWRHFO,992.7552
REGION1,DEMPWRHYD,5913.6822
REGION1,DEMPWRLPG,97.4116
REGION1,DEMPWRNGS,59433.887
REGION1,DEMPWRSOL,12471.518
REGION1,DEMPWRURN,5839.3235
REGION1,DEMPWRWND,1900.3721
REGION1,DEMRESELCB02,9738.71
REGION1,DEMRESELCC02,14672.24
REGION1,DEMRESELCD02,5459.41
REGION1,DEMRESELCE02,5575.64
REGION1,DEMRESELCF02,12213.01
REGION1,DEMRESELCG02,3123.08
REGION1,DEMRESELCH02,3007.93
REGION1,DEMRESELCI02,625.84
REGION1,DEMRESELCJ02,37.67
REGION1,DEMRESELCK02,1259.73
REGION1,DEMRESELCL02,827.09
REGION1,DEMRESELCM02,2246.92
REGION1,DEMRESELCN02,3298.78
REGION1,DEMRESELCO02,3132.72
REGION1,DEMRESELCP02,827.2
REGION1,IMPURN,5839.3235
REGION1,MINCOA,15426.746
REGION1,MINDSL,82.511
REGION1,MINHFO,992.7552
REGION1,MINLPG,97.4116
REGION1,MINNGS,59433.887
REGION1,PWRBIOA01,5.3636
REGION1,PWRBIOA03,0.299
REGION1,PWRBIOB01,1.2747
REGION1,PWRBIOB02,0.0785
REGION1,PWRBIOC01,1.6969
REGION1,PWRBIOC02,10.1657
REGION1,PWRBIOE01,0.9232
REGION1,PWRBIOF01,1.5841
REGION1,PWRBIOF02,0.5782
REGION1,PWRBIOG01,0.3071
REGION1,PWRCOAA01,2287.7634
REGION1,PWRCOAE01,1009.4363
REGION1,PWRCOAF01,2998.5703
REGION1,PWRCOAF02,327.7911
REGION1,PWRDSLA01,4.4844
REGION1,PWRDSLB01,0.6935
REGION1,PWRDSLC01,1.1958
REGION1,PWRDSLD01,0.9329
REGION1,PWRDSLD02,0.4102
REGION1,PWRDSLE01,2.1165
REGION1,PWRDSLE02,1.0935
REGION1,PWRDSLF01,0.5476
REGION1,PWRDSLF02,0.9457
REGION1,PWRDSLG01,6.4295
REGION1,PWRDSLG02,0.1279
REGION1,PWRDSLH01,1.643
REGION1,PWRDSLH02,0.2491
REGION1,PWRDSLI01,0.0277
REGION1,PWRDSLI02,0.1178
REGION1,PWRDSLJ01,0.4947
REGION1,PWRGEOA01,1283.2699
REGION1,PWRGEOB01,1132.907
REGION1,PWRGEOC01,3965.6174
REGION1,PWRGEOD01,1058.7266
REGION1,PWRGEOH01,2243.5254
REGION1,PWRGEOJ01,420.8044
REGION1,PWRHFOA01,115.6418
REGION1,PWRHFOB01,203.5897
REGION1,PWRHFOC01,1.2545
REGION1,PWRHFOD01,77.2883
REGION1,PWRHFOE01,89.9019
REGION1,PWRHFOG01,151.9771
REGION1,PWRHFOI01,121.2485
REGION1,PWRHFOI02,24.9446
REGION1,PWRHFOJ01,1.7806
REGION1,PWRHFOP01,142.8505
REGION1,PWRHYDA01,99.0735
REGION1,PWRHYDB01,3113.9476
REGION1,PWRHYDC01,1518.0737
REGION1,PWRHYDD01,444.973
REGION1,PWRHYDE01,116.8093
REGION1,PWRHYDF01,50.609
