r,t,y,NewCapacity
REGION1,DEMAGRDSL,2018,99999.0
REGION1,DEMAGRDSL,2019,99999.0
REGION1,DEMAGRDSL,2020,99999.0
REGION1,DEMAGRDSL,2021,99999.0
REGION1,DEMAGRDSL,2022,99999.0
REGION1,DEMAGRDSL,2023,99999.0
REGION1,DEMAGRDSL,2024,99999.0
REGION1,DEMAGRDSL,2025,99999.0
REGION1,DEMAGRDSL,2026,99999.0
REGION1,DEMAGRDSL,2027,99999.0
REGION1,DEMAGRDSL,2028,99999.0
REGION1,DEMAGRDSL,2029,99999.0
REGION1,DEMAGRDSL,2030,99999.0
REGION1,DEMAGRDSL,2031,99999.0
REGION1,DEMAGRDSL,2032,99999.0
REGION1,DEMAGRDSL,2033,99999.0
REGION1,DEMAGRDSL,2034,99999.0
REGION1,DEMAGRDSL,2035,99999.0
REGION1,DEMAGRDSL,2036,99999.0
REGION1,DEMAGRDSL,2037,99999.0
REGION1,DEMAGRDSL,2038,99999.0
REGION1,DEMAGRDSL,2039,99999.0
REGION1,DEMAGRDSL,2040,99999.0
REGION1,DEMAGRELCP02,2018,99999.0
REGION1,DEMAGRELCP02,2019,99999.0
REGION1,DEMAGRELCP02,2020,99999.0
REGION1,DEMAGRELCP02,2021,99999.0
REGION1,DEMAGRELCP02,2022,99999.0
REGION1,DEMAGRELCP02,2023,99999.0
REGION1,DEMAGRELCP02,2024,99999.0
REGION1,DEMAGRELCP02,2025,99999.0
REGION1,DEMAGRELCP02,2026,99999.0
REGION1,DEMAGRELCP02,2027,99999.0
REGION1,DEMAGRELCP02,2028,99999.0
REGION1,DEMAGRELCP02,2029,99999.0
REGION1,DEMAGRELCP02,2030,99999.0
REGION1,DEMAGRELCP02,2031,99999.0
REGION1,DEMAGRELCP02,2032,99999.0
REGION1,DEMAGRELCP02,2033,99999.0
REGION1,DEMAGRELCP02,2034,99999.0
REGION1,DEMAGRELCP02,2035,99999.0
REGION1,DEMAGRELCP02,2036,99999.0
REGION1,DEMAGRELCP02,2037,99999.0
REGION1,DEMAGRELCP02,2038,99999.0
REGION1,DEMAGRELCP02,2039,99999.0
REGION1,DEMAGRELCP02,2040,99999.0
REGION1,DEMAGRGWTPHL_VI,2018,99999.0
REGION1,DEMAGRGWTPHL_VI,2019,99999.0
REGION1,DEMAGRGWTPHL_VI,2020,99999.0
REGION1,DEMAGRGWTPHL_VI,2021,99999.0
REGION1,DEMAGRGWTPHL_VI,2022,99999.0
REGION1,DEMAGRGWTPHL_VI,2023,99999.0
REGION1,DEMAGRGWTPHL_VI,2024,99999.0
REGION1,DEMAGRGWTPHL_VI,2025,99999.0
REGION1,DEMAGRGWTPHL_VI,2026,99999.0
REGION1,DEMAGRGWTPHL_VI,2027,99999.0
REGION1,DEMAGRGWTPHL_VI,2028,99999.0
REGION1,DEMAGRGWTPHL_VI,2029,99999.0
REGION1,DEMAGRGWTPHL_VI,2030,99999.0
REGION1,DEMAGRGWTPHL_VI,2031,99999.0
REGION1,DEMAGRGWTPHL_VI,2032,99999.0
REGION1,DEMAGRGWTPHL_VI,2033,99999.0
REGION1,DEMAGRGWTPHL_VI,2034,99999.0
REGION1,DEMAGRGWTPHL_VI,2035,99999.0
REGION1,DEMAGRGWTPHL_VI,2036,99999.0
REGION1,DEMAGRGWTPHL_VI,2037,99999.0
REGION1,DEMAGRGWTPHL_VI,2038,99999.0
REGION1,DEMAGRGWTPHL_VI,2039,99999.0
REGION1,DEMAGRGWTPHL_VI,2040,99999.0
REGION1,DEMAGRSURPHL_VI,2018,99999.0
REGION1,DEMAGRSURPHL_VI,2019,99999.0
REGION1,DEMAGRSURPHL_VI,2020,99999.0
REGION1,DEMAGRSURPHL_VI,2021,99999.0
REGION1,DEMAGRSURPHL_VI,2022,99999.0
REGION1,DEMAGRSURPHL_VI,2023,99999.0
REGION1,DEMAGRSURPHL_VI,2024,99999.0
REGION1,DEMAGRSURPHL_VI,2025,99999.0
REGION1,DEMAGRSURPHL_VI,2026,99999.0
REGION1,DEMAGRSURPHL_VI,2027,99999.0
REGION1,DEMAGRSURPHL_VI,2028,99999.0
REGION1,DEMAGRSURPHL_VI,2029,99999.0
REGION1,DEMAGRSURPHL_VI,2030,99999.0
REGION1,DEMAGRSURPHL_VI,2031,99999.0
REGION1,DEMAGRSURPHL_VI,2032,99999.0
REGION1,DEMAGRSURPHL_VI,2033,99999.0
REGION1,DEMAGRSURPHL_VI,2034,99999.0
REGION1,DEMAGRSURPHL_VI,2035,99999.0
REGION1,DEMAGRSURPHL_VI,2036,99999.0
REGION1,DEMAGRSURPHL_VI,2037,99999.0
REGION1,DEMAGRSURPHL_VI,2038,99999.0
REGION1,DEMAGRSURPHL_VI,2039,99999.0
REGION1,DEMAGRSURPHL_VI,2040,99999.0
REGION1,DEMCOMBIO,2018,99999.0
REGION1,DEMCOMBIO,2019,99999.0
REGION1,DEMCOMBIO,2020,99999.0
REGION1,DEMCOMBIO,2021,99999.0
REGION1,DEMCOMBIO,2022,99999.0
REGION1,DEMCOMBIO,2023,99999.0
REGION1,DEMCOMBIO,2024,99999.0
REGION1,DEMCOMBIO,2025,99999.0
REGION1,DEMCOMBIO,2026,99999.0
REGION1,DEMCOMBIO,2027,99999.0
REGION1,DEMCOMBIO,2028,99999.0
REGION1,DEMCOMBIO,2029,99999.0
REGION1,DEMCOMBIO,2030,99999.0
REGION1,DEMCOMBIO,2031,99999.0
REGION1,DEMCOMBIO,2032,99999.0
REGION1,DEMCOMBIO,2033,99999.0
REGION1,DEMCOMBIO,2034,99999.0
REGION1,DEMCOMBIO,2035,99999.0
REGION1,DEMCOMBIO,2036,99999.0
REGION1,DEMCOMBIO,2037,99999.0
REGION1,DEMCOMBIO,2038,99999.0
REGION1,DEMCOMBIO,2039,99999.0
REGION1,DEMCOMBIO,2040,99999.0
REGION1,DEMCOMDSL,2018,99999.0
REGION1,DEMCOMDSL,2019,99999.0
REGION1,DEMCOMDSL,2020,99999.0
REGION1,DEMCOMDSL,2021,99999.0
REGION1,DEMCOMDSL,2022,99999.0
REGION1,DEMCOMDSL,2023,99999.0
REGION1,DEMCOMDSL,2024,99999.0
REGION1,DEMCOMDSL,2025,99999.0
REGION1,DEMCOMDSL,2026,99999.0
REGION1,DEMCOMDSL,2027,99999.0
REGION1,DEMCOMDSL,2028,99999.0
REGION1,DEMCOMDSL,2029,99999.0
REGION1,DEMCOMDSL,2030,99999.0
REGION1,DEMCOMDSL,2031,99999.0
REGION1,DEMCOMDSL,2032,99999.0
REGION1,DEMCOMDSL,2033,99999.0
REGION1,DEMCOMDSL,2034,99999.0
REGION1,DEMCOMDSL,2035,99999.0
REGION1,DEMCOMDSL,2036,99999.0
REGION1,DEMCOMDSL,2037,99999.0
REGION1,DEMCOMDSL,2038,99999.0
REGION1,DEMCOMDSL,2039,99999.0
REGION1,DEMCOMDSL,2040,99999.0
REGION1,DEMCOMELCP02,2018,99999.0
REGION1,DEMCOMELCP02,2019,99999.0
REGION1,DEMCOMELCP02,2020,99999.0
REGION1,DEMCOMELCP02,2021,99999.0
REGION1,DEMCOMELCP02,2022,99999.0
REGION1,DEMCOMELCP02,2023,99999.0
REGION1,DEMCOMELCP02,2024,99999.0
REGION1,DEMCOMELCP02,2025,99999.0
REGION1,DEMCOMELCP02,2026,99999.0
REGION1,DEMCOMELCP02,2027,99999.0
REGION1,DEMCOMELCP02,2028,99999.0
REGION1,DEMCOMELCP02,2029,99999.0
REGION1,DEMCOMELCP02,2030,99999.0
REGION1,DEMCOMELCP02,2031,99999.0
REGION1,DEMCOMELCP02,2032,99999.0
REGION1,DEMCOMELCP02,2033,99999.0
REGION1,DEMCOMELCP02,2034,99999.0
REGION1,DEMCOMELCP02,2035,99999.0
REGION1,DEMCOMELCP02,2036,99999.0
REGION1,DEMCOMELCP02,2037,99999.0
REGION1,DEMCOMELCP02,2038,99999.0
REGION1,DEMCOMELCP02,2039,99999.0
REGION1,DEMCOMELCP02,2040,99999.0
REGION1,DEMCOMKER,2018,99999.0
REGION1,DEMCOMKER,2019,99999.0
REGION1,DEMCOMKER,2020,99999.0
REGION1,DEMCOMKER,2021,99999.0
REGION1,DEMCOMKER,2022,99999.0
REGION1,DEMCOMKER,2023,99999.0
REGION1,DEMCOMKER,2024,99999.0
REGION1,DEMCOMKER,2025,99999.0
REGION1,DEMCOMKER,2026,99999.0
REGION1,DEMCOMKER,2027,99999.0
REGION1,DEMCOMKER,2028,99999.0
REGION1,DEMCOMKER,2029,99999.0
REGION1,DEMCOMKER,2030,99999.0
REGION1,DEMCOMKER,2031,99999.0
REGION1,DEMCOMKER,2032,99999.0
REGION1,DEMCOMKER,2033,99999.0
REGION1,DEMCOMKER,2034,99999.0
REGION1,DEMCOMKER,2035,99999.0
REGION1,DEMCOMKER,2036,99999.0
REGION1,DEMCOMKER,2037,99999.0
REGION1,DEMCOMKER,2038,99999.0
REGION1,DEMCOMKER,2039,99999.0
REGION1,DEMCOMKER,2040,99999.0
REGION1,DEMCOMLPG,2018,99999.0
REGION1,DEMCOMLPG,2019,99999.0
REGION1,DEMCOMLPG,2020,99999.0
REGION1,DEMCOMLPG,2021,99999.0
REGION1,DEMCOMLPG,2022,99999.0
REGION1,DEMCOMLPG,2023,99999.0
REGION1,DEMCOMLPG,2024,99999.0
REGION1,DEMCOMLPG,2025,99999.0
REGION1,DEMCOMLPG,2026,99999.0
REGION1,DEMCOMLPG,2027,99999.0
REGION1,DEMCOMLPG,2028,99999.0
REGION1,DEMCOMLPG,2029,99999.0
REGION1,DEMCOMLPG,2030,99999.0
REGION1,DEMCOMLPG,2031,99999.0
REGION1,DEMCOMLPG,2032,99999.0
REGION1,DEMCOMLPG,2033,99999.0
REGION1,DEMCOMLPG,2034,99999.0
REGION1,DEMCOMLPG,2035,99999.0
REGION1,DEMCOMLPG,2036,99999.0
REGION1,DEMCOMLPG,2037,99999.0
REGION1,DEMCOMLPG,2038,99999.0
