r,t,TotalTechnologyModelPeriodActivity
REGION1,DEMAGRDSL,23.0
REGION1,DEMAGRELCP02,23.2079
REGION1,DEMAGRGWTPHL_VI,12.0158
REGION1,DEMINDDSL,23.0
REGION1,DEMPWRGEO,15.364
REGION1,DEMPWRSOL,6.6934
REGION1,DEMPWRSURPHL_VI,7.7925
REGION1,DEMPWRWND,3.7033
REGION1,DEMTRABGS,23.0
REGION1,DEMTRABMX,23.0
REGION1,IMPDSL,66.7
REGION1,IMPGSL,20.7
REGION1,LNDAGRPHL_VIC01,204.0358
REGION1,LNDCONHRPHL_VI,71.875
REGION1,LNDMAIHRPHL_VI,43.3962
REGION1,LNDRCDHRPHL_VI,50.0
REGION1,LNDSGCHIPHL_VI,38.7608
REGION1,LNDSGCHRPHL_VI,0.0039
REGION1,MINLNDPHL_VI,204.0358
REGION1,MINPRCPHL_VI,387.6681
REGION1,PWRGEOP01,15.364
REGION1,PWRSOLP01,6.6934
REGION1,PWRTRNP01,23.2079
REGION1,PWRWNDP01,3.7033
REGION1,RNWGEO,15.364
REGION1,RNWSOL,6.6934
REGION1,RNWWND,3.7033
REGION1,UPSCON001,11.5
REGION1,UPSMIX001,23.0
REGION1,UPSMIX002,23.0
REGION1,UPSSGC001,11.5
