r,t,f,y,UseByTechnologyAnnual
REGION1,DEMAGRDSL,DSL,2018,0.2
REGION1,DEMAGRDSL,DSL,2019,0.2
REGION1,DEMAGRDSL,DSL,2020,0.2
REGION1,DEMAGRDSL,DSL,2021,0.2
REGION1,DEMAGRDSL,DSL,2022,0.2
REGION1,DEMAGRDSL,DSL,2023,0.2
REGION1,DEMAGRDSL,DSL,2024,0.2
REGION1,DEMAGRDSL,DSL,2025,0.2
REGION1,DEMAGRDSL,DSL,2026,0.2
REGION1,DEMAGRDSL,DSL,2027,0.2
REGION1,DEMAGRDSL,DSL,2028,0.2
REGION1,DEMAGRDSL,DSL,2029,0.2
REGION1,DEMAGRDSL,DSL,2030,0.2
REGION1,DEMAGRDSL,DSL,2031,0.2
REGION1,DEMAGRDSL,DSL,2032,0.2
REGION1,DEMAGRDSL,DSL,2033,0.2
REGION1,DEMAGRDSL,DSL,2034,0.2
REGION1,DEMAGRDSL,DSL,2035,0.2
REGION1,DEMAGRDSL,DSL,2036,0.2
REGION1,DEMAGRDSL,DSL,2037,0.2
REGION1,DEMAGRDSL,DSL,2038,0.2
REGION1,DEMAGRDSL,DSL,2039,0.2
REGION1,DEMAGRDSL,DSL,2040,0.2
REGION1,DEMAGRELCP02,ELCP02,2018,0.2018
REGION1,DEMAGRELCP02,ELCP02,2019,0.2018
REGION1,DEMAGRELCP02,ELCP02,2020,0.2018
REGION1,DEMAGRELCP02,ELCP02,2021,0.2018
REGION1,DEMAGRELCP02,ELCP02,2022,0.2018
REGION1,DEMAGRELCP02,ELCP02,2023,0.2018
REGION1,DEMAGRELCP02,ELCP02,2024,0.2018
REGION1,DEMAGRELCP02,ELCP02,2025,0.2018
REGION1,DEMAGRELCP02,ELCP02,2026,0.2018
REGION1,DEMAGRELCP02,ELCP02,2027,0.2018
REGION1,DEMAGRELCP02,ELCP02,2028,0.2018
REGION1,DEMAGRELCP02,ELCP02,2029,0.2018
REGION1,DEMAGRELCP02,ELCP02,2030,0.2018
REGION1,DEMAGRELCP02,ELCP02,2031,0.2018
REGION1,DEMAGRELCP02,ELCP02,2032,0.2018
REGION1,DEMAGRELCP02,ELCP02,2033,0.2018
REGION1,DEMAGRELCP02,ELCP02,2034,0.2018
REGION1,DEMAGRELCP02,ELCP02,2035,0.2018
REGION1,DEMAGRELCP02,ELCP02,2036,0.2018
REGION1,DEMAGRELCP02,ELCP02,2037,0.2018
REGION1,DEMAGRELCP02,ELCP02,2038,0.2018
REGION1,DEMAGRELCP02,ELCP02,2039,0.2018
REGION1,DEMAGRELCP02,ELCP02,2040,0.2018
REGION1,DEMAGRGWTPHL_VI,AGRELCP02,2018,0.1045
REGION1,DEMAGRGWTPHL_VI,AGRELCP02,2019,0.1045
REGION1,DEMAGRGWTPHL_VI,AGRELCP02,2020,0.1045
REGION1,DEMAGRGWTPHL_VI,AGRELCP02,2021,0.1045
REGION1,DEMAGRGWTPHL_VI,AGRELCP02,2022,0.1044
REGION1,DEMAGRGWTPHL_VI,AGRELCP02,2023,0.1044
REGION1,DEMAGRGWTPHL_VI,AGRELCP02,2024,0.1045
