r,t,f,y,ProductionByTechnologyAnnual
REGION1,DEMAGRCOA,AGRCOA,2016,0.079
REGION1,DEMAGRCOA,AGRCOA,2017,0.085
REGION1,DEMAGRCOA,AGRCOA,2018,0.091
REGION1,DEMAGRCOA,AGRCOA,2019,0.096
REGION1,DEMAGRCOA,AGRCOA,2020,0.106
REGION1,DEMAGRCOA,AGRCOA,2021,0.115
REGION1,DEMAGRCOA,AGRCOA,2022,0.125
REGION1,DEMAGRCOA,AGRCOA,2023,0.134
REGION1,DEMAGRCOA,AGRCOA,2024,0.144
REGION1,DEMAGRCOA,AGRCOA,2025,0.153
REGION1,DEMAGRCOA,AGRCOA,2026,0.163
REGION1,DEMAGRCOA,AGRCOA,2027,0.172
REGION1,DEMAGRCOA,AGRCOA,2028,0.182
REGION1,DEMAGRCOA,AGRCOA,2029,0.191
REGION1,DEMAGRCOA,AGRCOA,2030,0.199
REGION1,DEMAGRDSL,AGRDSL,2016,14.448
REGION1,DEMAGRDSL,AGRDSL,2017,15.504
REGION1,DEMAGRDSL,AGRDSL,2018,16.56
REGION1,DEMAGRDSL,AGRDSL,2019,17.616
REGION1,DEMAGRDSL,AGRDSL,2020,19.348
REGION1,DEMAGRDSL,AGRDSL,2021,21.079
REGION1,DEMAGRDSL,AGRDSL,2022,22.81
REGION1,DEMAGRDSL,AGRDSL,2023,24.541
REGION1,DEMAGRDSL,AGRDSL,2024,26.271
REGION1,DEMAGRDSL,AGRDSL,2025,28.001
REGION1,DEMAGRDSL,AGRDSL,2026,29.731
REGION1,DEMAGRDSL,AGRDSL,2027,31.46
REGION1,DEMAGRDSL,AGRDSL,2028,33.189
REGION1,DEMAGRDSL,AGRDSL,2029,34.918
REGION1,DEMAGRDSL,AGRDSL,2030,36.431
REGION1,DEMAGRELCC02,AGRELCC02,2016,0.8564
REGION1,DEMAGRELCC02,AGRELCC02,2017,0.919
REGION1,DEMAGRELCC02,AGRELCC02,2018,0.9816
REGION1,DEMAGRELCC02,AGRELCC02,2019,1.0442
REGION1,DEMAGRELCC02,AGRELCC02,2020,1.1468
REGION1,DEMAGRELCC02,AGRELCC02,2021,1.2495
REGION1,DEMAGRELCC02,AGRELCC02,2022,1.3521
REGION1,DEMAGRELCC02,AGRELCC02,2023,1.4547
REGION1,DEMAGRELCC02,AGRELCC02,2024,1.5572
REGION1,DEMAGRELCC02,AGRELCC02,2025,1.6598
REGION1,DEMAGRELCC02,AGRELCC02,2026,1.7623
REGION1,DEMAGRELCC02,AGRELCC02,2027,1.8648
REGION1,DEMAGRELCC02,AGRELCC02,2028,1.9673
REGION1,DEMAGRELCC02,AGRELCC02,2029,2.0698
REGION1,DEMAGRELCC02,AGRELCC02,2030,2.1594
REGION1,DEMAGRELCN02,AGRELCN02,2016,3.7844
REGION1,DEMAGRELCN02,AGRELCN02,2017,4.0611
REGION1,DEMAGRELCN02,AGRELCN02,2018,4.3377
REGION1,DEMAGRELCN02,AGRELCN02,2019,4.6142
REGION1,DEMAGRELCN02,AGRELCN02,2020,5.0678
REGION1,DEMAGRELCN02,AGRELCN02,2021,5.5213
REGION1,DEMAGRELCN02,AGRELCN02,2022,5.9747
REGION1,DEMAGRELCN02,AGRELCN02,2023,6.4281
REGION1,DEMAGRELCN02,AGRELCN02,2024,6.8813
REGION1,DEMAGRELCN02,AGRELCN02,2025,7.3344
REGION1,DEMAGRELCN02,AGRELCN02,2026,7.7874
REGION1,DEMAGRELCN02,AGRELCN02,2027,8.2404
REGION1,DEMAGRELCN02,AGRELCN02,2028,8.6933
REGION1,DEMAGRELCN02,AGRELCN02,2029,9.1461
REGION1,DEMAGRELCN02,AGRELCN02,2030,9.5423
REGION1,DEMAGRELCS02,AGRELCS02,2016,4.6292
REGION1,DEMAGRELCS02,AGRELCS02,2017,4.9677
REGION1,DEMAGRELCS02,AGRELCS02,2018,5.306
REGION1,DEMAGRELCS02,AGRELCS02,2019,5.6442
REGION1,DEMAGRELCS02,AGRELCS02,2020,6.1992
REGION1,DEMAGRELCS02,AGRELCS02,2021,6.7539
REGION1,DEMAGRELCS02,AGRELCS02,2022,7.3086
REGION1,DEMAGRELCS02,AGRELCS02,2023,7.8631
REGION1,DEMAGRELCS02,AGRELCS02,2024,8.4175
REGION1,DEMAGRELCS02,AGRELCS02,2025,8.9717
REGION1,DEMAGRELCS02,AGRELCS02,2026,9.5259
REGION1,DEMAGRELCS02,AGRELCS02,2027,10.08
REGION1,DEMAGRELCS02,AGRELCS02,2028,10.634
REGION1,DEMAGRELCS02,AGRELCS02,2029,11.1879
REGION1,DEMAGRELCS02,AGRELCS02,2030,11.6725
REGION1,DEMAGRGSL,AGRGSL,2016,5.848
REGION1,DEMAGRGSL,AGRGSL,2017,6.275
REGION1,DEMAGRGSL,AGRGSL,2018,6.703
REGION1,DEMAGRGSL,AGRGSL,2019,7.13
REGION1,DEMAGRGSL,AGRGSL,2020,7.831
REGION1,DEMAGRGSL,AGRGSL,2021,8.532
REGION1,DEMAGRGSL,AGRGSL,2022,9.232
REGION1,DEMAGRGSL,AGRGSL,2023,9.933
REGION1,DEMAGRGSL,AGRGSL,2024,10.633
REGION1,DEMAGRGSL,AGRGSL,2025,11.333
REGION1,DEMAGRGSL,AGRGSL,2026,12.033
REGION1,DEMAGRGSL,AGRGSL,2027,12.733
REGION1,DEMAGRGSL,AGRGSL,2028,13.433
REGION1,DEMAGRGSL,AGRGSL,2029,14.133
REGION1,DEMAGRGSL,AGRGSL,2030,14.745
REGION1,DEMAGRSURMRD,AGRWATMRD,2016,4.2129
REGION1,DEMAGRSURMRD,AGRWATMRD,2017,4.3546
REGION1,DEMAGRSURMRD,AGRWATMRD,2018,4.5402
REGION1,DEMAGRSURMRD,AGRWATMRD,2019,4.7243
REGION1,DEMAGRSURMRD,AGRWATMRD,2020,5.0105
REGION1,DEMAGRSURMRD,AGRWATMRD,2021,5.3599
REGION1,DEMAGRSURMRD,AGRWATMRD,2022,5.5411
REGION1,DEMAGRSURMRD,AGRWATMRD,2023,5.6248
REGION1,DEMAGRSURMRD,AGRWATMRD,2024,5.7961
REGION1,DEMAGRSURMRD,AGRWATMRD,2025,5.9292
REGION1,DEMAGRSURMRD,AGRWATMRD,2026,6.0869
