r,t,y,SalvageValue
REGION1,LNDCP01HIMRD,2026,0.0458
REGION1,LNDCP01HIMRD,2027,0.1138
REGION1,LNDCP01HIMRD,2028,0.1777
REGION1,LNDCP01HIMRD,2029,0.2369
REGION1,LNDCP01HIMRD,2030,0.2912
REGION1,LNDCP01HINOC,2018,0.4355
REGION1,LNDCP01HINOC,2019,0.6874
REGION1,LNDCP01HINOC,2020,0.9692
REGION1,LNDCP01HINOC,2021,1.2869
REGION1,LNDCP01HINOE,2026,0.0449
REGION1,LNDCP01HINOE,2027,0.1115
REGION1,LNDCP01HINOE,2028,0.1741
REGION1,LNDCP01HINOE,2029,0.2321
REGION1,LNDCP01HINOE,2030,0.2853
REGION1,LNDCP01HINOW,2026,0.059
REGION1,LNDCP01HINOW,2027,0.1466
REGION1,LNDCP01HINOW,2028,0.2289
REGION1,LNDCP01HINOW,2029,0.3052
REGION1,LNDCP01HINOW,2030,0.3752
REGION1,LNDCP01HIRRD,2026,0.0252
REGION1,LNDCP01HIRRD,2027,0.0626
REGION1,LNDCP01HIRRD,2028,0.0978
REGION1,LNDCP01HIRRD,2029,0.1304
REGION1,LNDCP01HIRRD,2030,0.1602
REGION1,LNDCP01HISOC,2019,0.7562
REGION1,LNDCP01HISOC,2020,1.4154
REGION1,LNDCP01HISOC,2021,1.8651
REGION1,LNDCP01HISOC,2022,2.3707
REGION1,LNDCP01HISOE,2020,0.1687
REGION1,LNDCP01HISOE,2027,0.0778
REGION1,LNDCP01HISOE,2028,0.151
REGION1,LNDCP01HISOE,2029,0.2188
REGION1,LNDCP01HISOE,2030,0.2811
REGION1,LNDCP01HRMRD,2017,0.7176
REGION1,LNDCP01HRMRD,2029,0.1078
REGION1,LNDCP01HRMRD,2030,0.3635
REGION1,LNDCP01HRNOC,2017,0.779
REGION1,LNDCP01HRNOC,2018,1.6416
REGION1,LNDCP01HRNOC,2019,2.6068
REGION1,LNDCP01HRNOC,2020,3.6958
REGION1,LNDCP01HRNOC,2021,4.9327
REGION1,LNDCP01HRNOC,2022,6.3451
REGION1,LNDCP01HRNOC,2023,7.9641
REGION1,LNDCP01HRNOC,2024,9.8253
REGION1,LNDCP01HRNOC,2025,11.9695
REGION1,LNDCP01HRNOC,2026,14.4435
REGION1,LNDCP01HRNOC,2027,17.3005
REGION1,LNDCP01HRNOC,2028,20.6022
REGION1,LNDCP01HRNOC,2029,24.4188
REGION1,LNDCP01HRNOC,2030,21.7658
REGION1,LNDCP01HRNOE,2021,1.3114
REGION1,LNDCP01HRNOE,2027,2.1521
REGION1,LNDCP01HRNOE,2028,1.2504
REGION1,LNDCP01HRNOE,2029,3.3678
REGION1,LNDCP01HRNOW,2020,2.7769
REGION1,LNDCP01HRNOW,2021,3.6411
REGION1,LNDCP01HRNOW,2022,2.2492
REGION1,LNDCP01HRNOW,2027,5.8487
REGION1,LNDCP01HRNOW,2028,6.7361
REGION1,LNDCP01HRNOW,2029,7.7425
REGION1,LNDCP01HRNOW,2030,7.6338
REGION1,LNDCP01HRRRD,2026,0.0821
REGION1,LNDCP01HRRRD,2027,0.204
REGION1,LNDCP01HRRRD,2028,0.3185
REGION1,LNDCP01HRRRD,2029,0.4246
REGION1,LNDCP01HRRRD,2030,0.522
REGION1,LNDCP01HRSOC,2017,1.0847
REGION1,LNDCP01HRSOC,2018,2.8198
REGION1,LNDCP01HRSOC,2019,4.4726
REGION1,LNDCP01HRSOC,2020,6.3343
REGION1,LNDCP01HRSOC,2021,8.4462
REGION1,LNDCP01HRSOC,2022,10.8548
