r,t,TotalTechnologyModelPeriodActivity
REGION1,DEMAGRCOA,2.035
REGION1,DEMAGRDSL,371.907
REGION1,DEMAGRELCC02,22.0449
REGION1,DEMAGRELCN02,97.4145
REGION1,DEMAGRELCS02,119.1614
REGION1,DEMAGRGSL,150.527
REGION1,DEMAGRSURMRD,82.8944
REGION1,DEMAGRSURNOC,44.0122
REGION1,DEMAGRSURNOE,2.0214
REGION1,DEMAGRSURNOW,8.6379
REGION1,DEMAGRSURRRD,1.9014
REGION1,DEMAGRSURSOC,143.8099
REGION1,DEMAGRSURSOE,114.6656
REGION1,DEMCOMBIO,3.398
REGION1,DEMCOMCOA,44.57
REGION1,DEMCOMDSL,448.282
REGION1,DEMCOMELCC02,100.3519
REGION1,DEMCOMELCN02,443.4477
REGION1,DEMCOMELCS02,542.4434
REGION1,DEMCOMKER,9.019
REGION1,DEMCOMLPG,672.092
REGION1,DEMINDBIO,2969.682
REGION1,DEMINDCOA,1151.328
REGION1,DEMINDDSL,1117.656
REGION1,DEMINDELCC02,729.9545
REGION1,DEMINDELCN02,3225.61
REGION1,DEMINDELCS02,3945.7005
REGION1,DEMINDHFO,394.139
REGION1,DEMINDKER,19.178
REGION1,DEMINDLPG,263.582
REGION1,DEMINDNGS,1914.758
REGION1,DEMOTHOHC,3834.951
REGION1,DEMPWRBIO,100.1088
REGION1,DEMPWRCOA,16953.44
REGION1,DEMPWRDSL,2.6618
REGION1,DEMPWRHYD,3736.0633
REGION1,DEMPWRNGS,9634.5858
REGION1,DEMPWRSOL,57.2366
REGION1,DEMPWRSURNOC,10.2895
REGION1,DEMPWRSURNOE,123.6826
REGION1,DEMPWRSURSOE,101.9859
REGION1,DEMPWRWND,87.5003
REGION1,DEMRESBIO,12913.552
REGION1,DEMRESCOA,133.647
REGION1,DEMRESDSL,15.497
REGION1,DEMRESELCC02,477.162
REGION1,DEMRESELCN02,2108.5406
REGION1,DEMRESELCS02,2579.2547
REGION1,DEMRESKER,22.549
REGION1,DEMRESLPG,1216.341
REGION1,DEMTRADSL,6671.108
REGION1,DEMTRAGSL,6247.89
REGION1,DEMTRAHFO,54.075
REGION1,EXPCOA,2605.9488
REGION1,EXPCRU,7907.3886
REGION1,EXPELCC02,0.247
REGION1,EXPELCN02,1.093
REGION1,EXPELCS02,1.338
REGION1,IMPDSL,4746.6932
REGION1,IMPELCC02,0.909
REGION1,IMPELCN02,4.017
REGION1,IMPELCS02,4.913
REGION1,IMPGSL,2473.5622
REGION1,IMPHFO,271.5025
REGION1,IMPKER,50.746
REGION1,IMPLPG,864.3981
REGION1,IMPNGS,20.0953
REGION1,IMPOHC,3834.951
REGION1,LNDAGRMRDC01,295.8789
REGION1,LNDAGRMRDC02,333.3936
REGION1,LNDAGRNOCC01,176.6401
REGION1,LNDAGRNOCC02,506.5243
REGION1,LNDAGRNOEC01,497.1658
REGION1,LNDAGRNOEC02,40.9431
REGION1,LNDAGRNOEC03,78.3767
REGION1,LNDAGRNOWC01,167.2817
REGION1,LNDAGRNOWC02,643.3911
REGION1,LNDAGRRRDC01,29.245
REGION1,LNDAGRRRDC02,317.0163
REGION1,LNDAGRSOCC01,979.1243
REGION1,LNDAGRSOCC02,43.2827
REGION1,LNDAGRSOCC03,185.9985
REGION1,LNDAGRSOEC01,409.4307
REGION1,LNDAGRSOEC02,264.3752
