r,t,y,AnnualVariableOperatingCost
EXAMPLE,MINGAS,2019,897.9916
EXAMPLE,MINGAS,2020,897.9916
EXAMPLE,MINGAS,2021,897.9916
EXAMPLE,MINGAS,2022,897.9916
EXAMPLE,MINHYD,2019,0.0548
EXAMPLE,MINHYD,2020,0.0548
EXAMPLE,MINHYD,2021,0.0548
EXAMPLE,MINHYD,2022,0.0548
EXAMPLE,MINSOL,2019,0.0202
EXAMPLE,MINSOL,2020,0.0202
EXAMPLE,MINSOL,2021,0.0202
EXAMPLE,MINSOL,2022,0.0202
EXAMPLE,PWRHYD,2019,0.0548
EXAMPLE,PWRHYD,2020,0.0548
EXAMPLE,PWRHYD,2021,0.0548
EXAMPLE,PWRHYD,2022,0.0548
EXAMPLE,PWRSOL,2019,0.0202
EXAMPLE,PWRSOL,2020,0.0202
EXAMPLE,PWRSOL,2021,0.0202
EXAMPLE,PWRSOL,2022,0.0202
