r,t,f,y,ProductionByTechnologyAnnual
EXAMPLE,MINGAS,GAS,2019,89.7992
EXAMPLE,MINGAS,GAS,2020,89.7992
EXAMPLE,MINGAS,GAS,2021,89.7992
EXAMPLE,MINGAS,GAS,2022,89.7992
EXAMPLE,MINHYD,HYD,2019,54.795
EXAMPLE,MINHYD,HYD,2020,54.795
EXAMPLE,MINHYD,HYD,2021,54.795
EXAMPLE,MINHYD,HYD,2022,54.795
EXAMPLE,MINSOL,SOL,2019,20.2443
EXAMPLE,MINSOL,SOL,2020,20.2443
EXAMPLE,MINSOL,SOL,2021,20.2443
EXAMPLE,MINSOL,SOL,2022,20.2443
EXAMPLE,PWRGAS,ELC001,2019,44.8996
EXAMPLE,PWRGAS,ELC001,2020,44.8996
EXAMPLE,PWRGAS,ELC001,2021,44.8996
EXAMPLE,PWRGAS,ELC001,2022,44.8996
EXAMPLE,PWRHYD,ELC001,2019,54.795
EXAMPLE,PWRHYD,ELC001,2020,54.795
EXAMPLE,PWRHYD,ELC001,2021,54.795
EXAMPLE,PWRHYD,ELC001,2022,54.795
EXAMPLE,PWRSOL,ELC002,2019,20.2443
EXAMPLE,PWRSOL,ELC002,2020,20.2443
EXAMPLE,PWRSOL,ELC002,2021,20.2443
EXAMPLE,PWRSOL,ELC002,2022,20.2443
EXAMPLE,PWRTRN,ELC002,2019,79.7557
EXAMPLE,PWRTRN,ELC002,2020,79.7557
EXAMPLE,PWRTRN,ELC002,2021,79.7557
EXAMPLE,PWRTRN,ELC002,2022,79.7557
