r,l,t,m,y,RateOfActivity
EXAMPLE,WD,MINGAS,1,2019,57.8739
EXAMPLE,WN,MINGAS,1,2019,484.0643
EXAMPLE,SD,MINHYD,1,2019,44.8833
EXAMPLE,SN,MINHYD,1,2019,44.8833
EXAMPLE,WD,MINHYD,1,2019,74.8055
EXAMPLE,WN,MINHYD,1,2019,74.8055
EXAMPLE,SD,MINSOL,1,2019,35.8905
EXAMPLE,WD,MINSOL,1,2019,25.6361
EXAMPLE,SD,PWRHYD,1,2019,44.8833
EXAMPLE,SN,PWRHYD,1,2019,44.8833
EXAMPLE,WD,PWRHYD,1,2019,74.8055
EXAMPLE,WN,PWRHYD,1,2019,74.8055
EXAMPLE,SD,PWRSOL,1,2019,35.8905
EXAMPLE,WD,PWRSOL,1,2019,25.6361
EXAMPLE,WD,MINGAS,1,2020,57.8739
EXAMPLE,WN,MINGAS,1,2020,484.0643
EXAMPLE,SD,MINHYD,1,2020,44.8833
EXAMPLE,SN,MINHYD,1,2020,44.8833
EXAMPLE,WD,MINHYD,1,2020,74.8055
EXAMPLE,WN,MINHYD,1,2020,74.8055
EXAMPLE,SD,MINSOL,1,2020,35.8905
EXAMPLE,WD,MINSOL,1,2020,25.6361
EXAMPLE,SD,PWRHYD,1,2020,44.8833
EXAMPLE,SN,PWRHYD,1,2020,44.8833
EXAMPLE,WD,PWRHYD,1,2020,74.8055
EXAMPLE,WN,PWRHYD,1,2020,74.8055
EXAMPLE,SD,PWRSOL,1,2020,35.8905
EXAMPLE,WD,PWRSOL,1,2020,25.6361
EXAMPLE,WD,MINGAS,1,2021,57.8739
EXAMPLE,WN,MINGAS,1,2021,484.0643
EXAMPLE,SD,MINHYD,1,2021,44.8833
EXAMPLE,SN,MINHYD,1,2021,44.8833
EXAMPLE,WD,MINHYD,1,2021,74.8055
EXAMPLE,WN,MINHYD,1,2021,74.8055
EXAMPLE,SD,MINSOL,1,2021,35.8905
EXAMPLE,WD,MINSOL,1,2021,25.6361
EXAMPLE,SD,PWRHYD,1,2021,44.8833
EXAMPLE,SN,PWRHYD,1,2021,44.8833
EXAMPLE,WD,PWRHYD,1,2021,74.8055
EXAMPLE,WN,PWRHYD,1,2021,74.8055
EXAMPLE,SD,PWRSOL,1,2021,35.8905
EXAMPLE,WD,PWRSOL,1,2021,25.6361
EXAMPLE,WD,MINGAS,1,2022,57.8739
EXAMPLE,WN,MINGAS,1,2022,484.0643
EXAMPLE,SD,MINHYD,1,2022,44.8833
EXAMPLE,SN,MINHYD,1,2022,44.8833
EXAMPLE,WD,MINHYD,1,2022,74.8055
EXAMPLE,WN,MINHYD,1,2022,74.8055
EXAMPLE,SD,MINSOL,1,2022,35.8905
EXAMPLE,WD,MINSOL,1,2022,25.6361
EXAMPLE,SD,PWRHYD,1,2022,44.8833
EXAMPLE,SN,PWRHYD,1,2022,44.8833
EXAMPLE,WD,PWRHYD,1,2022,74.8055
EXAMPLE,WN,PWRHYD,1,2022,74.8055
EXAMPLE,SD,PWRSOL,1,2022,35.8905
EXAMPLE,WD,PWRSOL,1,2022,25.6361
EXAMPLE,WD,PWRGAS,1,2019,28.9369
EXAMPLE,WN,PWRGAS,1,2019,242.0322
EXAMPLE,WD,PWRGAS,1,2020,28.9369
EXAMPLE,WN,PWRGAS,1,2020,242.0322
EXAMPLE,WD,PWRGAS,1,2021,28.9369
EXAMPLE,WN,PWRGAS,1,2021,242.0322
EXAMPLE,WD,PWRGAS,1,2022,28.9369
EXAMPLE,WN,PWRGAS,1,2022,242.0322
EXAMPLE,SD,PWRTRN,1,2019,44.8833
EXAMPLE,SN,PWRTRN,1,2019,44.8833
EXAMPLE,WD,PWRTRN,1,2019,103.7424
EXAMPLE,WN,PWRTRN,1,2019,316.8377
EXAMPLE,SD,PWRTRN,1,2020,44.8833
EXAMPLE,SN,PWRTRN,1,2020,44.8833
EXAMPLE,WD,PWRTRN,1,2020,103.7424
EXAMPLE,WN,PWRTRN,1,2020,316.8377
EXAMPLE,SD,PWRTRN,1,2021,44.8833
EXAMPLE,SN,PWRTRN,1,2021,44.8833
EXAMPLE,WD,PWRTRN,1,2021,103.7424
EXAMPLE,WN,PWRTRN,1,2021,316.8377
EXAMPLE,SD,PWRTRN,1,2022,44.8833
EXAMPLE,SN,PWRTRN,1,2022,44.8833
EXAMPLE,WD,PWRTRN,1,2022,103.7424
EXAMPLE,WN,PWRTRN,1,2022,316.8377
