r,l,t,f,m,y,RateOfUseByTechnologyByMode
EXAMPLE,SD,PWRHYD,1,HYD,2019,44.8833
EXAMPLE,SD,PWRHYD,1,HYD,2020,44.8833
EXAMPLE,SD,PWRHYD,1,HYD,2021,44.8833
EXAMPLE,SD,PWRHYD,1,HYD,2022,44.8833
EXAMPLE,SD,PWRSOL,1,SOL,2019,35.8905
EXAMPLE,SD,PWRSOL,1,SOL,2020,35.8905
EXAMPLE,SD,PWRSOL,1,SOL,2021,35.8905
EXAMPLE,SD,PWRSOL,1,SOL,2022,35.8905
EXAMPLE,SD,PWRTRN,1,ELC001,2019,44.8833
EXAMPLE,SD,PWRTRN,1,ELC001,2020,44.8833
EXAMPLE,SD,PWRTRN,1,ELC001,2021,44.8833
EXAMPLE,SD,PWRTRN,1,ELC001,2022,44.8833
EXAMPLE,SN,PWRHYD,1,HYD,2019,44.8833
EXAMPLE,SN,PWRHYD,1,HYD,2020,44.8833
EXAMPLE,SN,PWRHYD,1,HYD,2021,44.8833
EXAMPLE,SN,PWRHYD,1,HYD,2022,44.8833
EXAMPLE,SN,PWRTRN,1,ELC001,2019,44.8833
EXAMPLE,SN,PWRTRN,1,ELC001,2020,44.8833
EXAMPLE,SN,PWRTRN,1,ELC001,2021,44.8833
EXAMPLE,SN,PWRTRN,1,ELC001,2022,44.8833
EXAMPLE,WD,PWRGAS,1,GAS,2019,57.8739
EXAMPLE,WD,PWRGAS,1,GAS,2020,57.8739
EXAMPLE,WD,PWRGAS,1,GAS,2021,57.8739
EXAMPLE,WD,PWRGAS,1,GAS,2022,57.8739
EXAMPLE,WD,PWRHYD,1,HYD,2019,74.8055
EXAMPLE,WD,PWRHYD,1,HYD,2020,74.8055
EXAMPLE,WD,PWRHYD,1,HYD,2021,74.8055
EXAMPLE,WD,PWRHYD,1,HYD,2022,74.8055
EXAMPLE,WD,PWRSOL,1,SOL,2019,25.6361
EXAMPLE,WD,PWRSOL,1,SOL,2020,25.6361
EXAMPLE,WD,PWRSOL,1,SOL,2021,25.6361
EXAMPLE,WD,PWRSOL,1,SOL,2022,25.6361
EXAMPLE,WD,PWRTRN,1,ELC001,2019,103.7424
EXAMPLE,WD,PWRTRN,1,ELC001,2020,103.7424
EXAMPLE,WD,PWRTRN,1,ELC001,2021,103.7424
EXAMPLE,WD,PWRTRN,1,ELC001,2022,103.7424
EXAMPLE,WN,PWRGAS,1,GAS,2019,484.0643
EXAMPLE,WN,PWRGAS,1,GAS,2020,484.0643
EXAMPLE,WN,PWRGAS,1,GAS,2021,484.0643
EXAMPLE,WN,PWRGAS,1,GAS,2022,484.0643
EXAMPLE,WN,PWRHYD,1,HYD,2019,74.8055
EXAMPLE,WN,PWRHYD,1,HYD,2020,74.8055
EXAMPLE,WN,PWRHYD,1,HYD,2021,74.8055
EXAMPLE,WN,PWRHYD,1,HYD,2022,74.8055
EXAMPLE,WN,PWRTRN,1,ELC001,2019,316.8377
EXAMPLE,WN,PWRTRN,1,ELC001,2020,316.8377
EXAMPLE,WN,PWRTRN,1,ELC001,2021,316.8377
EXAMPLE,WN,PWRTRN,1,ELC001,2022,316.8377
