r,rr,l,f,y,Trade
"EXAMPLE","EXAMPLE","SD","AGRELC",2019,0
"EXAMPLE","EXAMPLE","SD","AGRELC",2020,0
"EXAMPLE","EXAMPLE","SD","AGRELC",2021,0
"EXAMPLE","EXAMPLE","SD","AGRELC",2022,0
"EXAMPLE","EXAMPLE","SD","AGRWAT",2019,0
"EXAMPLE","EXAMPLE","SD","AGRWAT",2020,0
"EXAMPLE","EXAMPLE","SD","AGRWAT",2021,0
"EXAMPLE","EXAMPLE","SD","AGRWAT",2022,0
"EXAMPLE","EXAMPLE","SD","BAG",2019,0
"EXAMPLE","EXAMPLE","SD","BAG",2020,0
"EXAMPLE","EXAMPLE","SD","BAG",2021,0
"EXAMPLE","EXAMPLE","SD","BAG",2022,0
"EXAMPLE","EXAMPLE","SD","BIO",2019,0
"EXAMPLE","EXAMPLE","SD","BIO",2020,0
"EXAMPLE","EXAMPLE","SD","BIO",2021,0
"EXAMPLE","EXAMPLE","SD","BIO",2022,0
"EXAMPLE","EXAMPLE","SD","BLT",2019,0
"EXAMPLE","EXAMPLE","SD","BLT",2020,0
"EXAMPLE","EXAMPLE","SD","BLT",2021,0
"EXAMPLE","EXAMPLE","SD","BLT",2022,0
"EXAMPLE","EXAMPLE","SD","COMELC",2019,0
"EXAMPLE","EXAMPLE","SD","COMELC",2020,0
"EXAMPLE","EXAMPLE","SD","COMELC",2021,0
"EXAMPLE","EXAMPLE","SD","COMELC",2022,0
"EXAMPLE","EXAMPLE","SD","CRPCP01",2019,0
"EXAMPLE","EXAMPLE","SD","CRPCP01",2020,0
"EXAMPLE","EXAMPLE","SD","CRPCP01",2021,0
"EXAMPLE","EXAMPLE","SD","CRPCP01",2022,0
"EXAMPLE","EXAMPLE","SD","CRPCP02",2019,0
"EXAMPLE","EXAMPLE","SD","CRPCP02",2020,0
"EXAMPLE","EXAMPLE","SD","CRPCP02",2021,0
"EXAMPLE","EXAMPLE","SD","CRPCP02",2022,0
"EXAMPLE","EXAMPLE","SD","ELC001",2019,0
"EXAMPLE","EXAMPLE","SD","ELC001",2020,0
"EXAMPLE","EXAMPLE","SD","ELC001",2021,0
"EXAMPLE","EXAMPLE","SD","ELC001",2022,0
"EXAMPLE","EXAMPLE","SD","ELC002",2019,0
"EXAMPLE","EXAMPLE","SD","ELC002",2020,0
"EXAMPLE","EXAMPLE","SD","ELC002",2021,0
"EXAMPLE","EXAMPLE","SD","ELC002",2022,0
"EXAMPLE","EXAMPLE","SD","GEO",2019,0
"EXAMPLE","EXAMPLE","SD","GEO",2020,0
"EXAMPLE","EXAMPLE","SD","GEO",2021,0
"EXAMPLE","EXAMPLE","SD","GEO",2022,0
"EXAMPLE","EXAMPLE","SD","HYD",2019,0
"EXAMPLE","EXAMPLE","SD","HYD",2020,0
"EXAMPLE","EXAMPLE","SD","HYD",2021,0
"EXAMPLE","EXAMPLE","SD","HYD",2022,0
"EXAMPLE","EXAMPLE","SD","LND",2019,0
"EXAMPLE","EXAMPLE","SD","LND",2020,0
"EXAMPLE","EXAMPLE","SD","LND",2021,0
"EXAMPLE","EXAMPLE","SD","LND",2022,0
"EXAMPLE","EXAMPLE","SD","PUBWAT",2019,0
"EXAMPLE","EXAMPLE","SD","PUBWAT",2020,0
"EXAMPLE","EXAMPLE","SD","PUBWAT",2021,0
"EXAMPLE","EXAMPLE","SD","PUBWAT",2022,0
"EXAMPLE","EXAMPLE","SD","SOL",2019,0
"EXAMPLE","EXAMPLE","SD","SOL",2020,0
"EXAMPLE","EXAMPLE","SD","SOL",2021,0
"EXAMPLE","EXAMPLE","SD","SOL",2022,0
"EXAMPLE","EXAMPLE","SD","SUG",2019,0
"EXAMPLE","EXAMPLE","SD","SUG",2020,0
"EXAMPLE","EXAMPLE","SD","SUG",2021,0
"EXAMPLE","EXAMPLE","SD","SUG",2022,0
"EXAMPLE","EXAMPLE","SD","WND",2019,0
"EXAMPLE","EXAMPLE","SD","WND",2020,0
"EXAMPLE","EXAMPLE","SD","WND",2021,0
"EXAMPLE","EXAMPLE","SD","WND",2022,0
"EXAMPLE","EXAMPLE","SD","WTREVT",2019,0
"EXAMPLE","EXAMPLE","SD","WTREVT",2020,0
"EXAMPLE","EXAMPLE","SD","WTREVT",2021,0
"EXAMPLE","EXAMPLE","SD","WTREVT",2022,0
"EXAMPLE","EXAMPLE","SD","WTRGWT",2019,0
"EXAMPLE","EXAMPLE","SD","WTRGWT",2020,0
"EXAMPLE","EXAMPLE","SD","WTRGWT",2021,0
