r,t,y,AnnualVariableOperatingCost
REGION1,DEMAGRCOA,2016,0.0001
REGION1,DEMAGRCOA,2017,0.0001
REGION1,DEMAGRCOA,2018,0.0001
REGION1,DEMAGRCOA,2019,0.0001
REGION1,DEMAGRCOA,2020,0.0001
REGION1,DEMAGRCOA,2021,0.0001
REGION1,DEMAGRCOA,2022,0.0001
REGION1,DEMAGRCOA,2023,0.0001
REGION1,DEMAGRCOA,2024,0.0001
REGION1,DEMAGRCOA,2025,0.0002
REGION1,DEMAGRCOA,2026,0.0002
REGION1,DEMAGRCOA,2027,0.0002
REGION1,DEMAGRCOA,2028,0.0002
REGION1,DEMAGRCOA,2029,0.0002
REGION1,DEMAGRCOA,2030,0.0002
REGION1,DEMAGRDSL,2016,0.0144
REGION1,DEMAGRDSL,2017,0.0155
REGION1,DEMAGRDSL,2018,0.0166
REGION1,DEMAGRDSL,2019,0.0176
REGION1,DEMAGRDSL,2020,0.0193
REGION1,DEMAGRDSL,2021,0.0211
REGION1,DEMAGRDSL,2022,0.0228
REGION1,DEMAGRDSL,2023,0.0245
REGION1,DEMAGRDSL,2024,0.0263
REGION1,DEMAGRDSL,2025,0.028
REGION1,DEMAGRDSL,2026,0.0297
REGION1,DEMAGRDSL,2027,0.0315
REGION1,DEMAGRDSL,2028,0.0332
REGION1,DEMAGRDSL,2029,0.0349
REGION1,DEMAGRDSL,2030,0.0364
REGION1,DEMAGRELCC02,2016,0.0009
REGION1,DEMAGRELCC02,2017,0.0009
REGION1,DEMAGRELCC02,2018,0.001
REGION1,DEMAGRELCC02,2019,0.001
REGION1,DEMAGRELCC02,2020,0.0011
REGION1,DEMAGRELCC02,2021,0.0012
REGION1,DEMAGRELCC02,2022,0.0014
REGION1,DEMAGRELCC02,2023,0.0015
REGION1,DEMAGRELCC02,2024,0.0016
REGION1,DEMAGRELCC02,2025,0.0017
REGION1,DEMAGRELCC02,2026,0.0018
REGION1,DEMAGRELCC02,2027,0.0019
REGION1,DEMAGRELCC02,2028,0.002
REGION1,DEMAGRELCC02,2029,0.0021
REGION1,DEMAGRELCC02,2030,0.0022
REGION1,DEMAGRELCN02,2016,0.0038
REGION1,DEMAGRELCN02,2017,0.0041
REGION1,DEMAGRELCN02,2018,0.0043
REGION1,DEMAGRELCN02,2019,0.0046
REGION1,DEMAGRELCN02,2020,0.0051
REGION1,DEMAGRELCN02,2021,0.0055
REGION1,DEMAGRELCN02,2022,0.006
REGION1,DEMAGRELCN02,2023,0.0064
REGION1,DEMAGRELCN02,2024,0.0069
REGION1,DEMAGRELCN02,2025,0.0073
REGION1,DEMAGRELCN02,2026,0.0078
REGION1,DEMAGRELCN02,2027,0.0082
REGION1,DEMAGRELCN02,2028,0.0087
REGION1,DEMAGRELCN02,2029,0.0091
REGION1,DEMAGRELCN02,2030,0.0095
REGION1,DEMAGRELCS02,2016,0.0046
REGION1,DEMAGRELCS02,2017,0.005
REGION1,DEMAGRELCS02,2018,0.0053
REGION1,DEMAGRELCS02,2019,0.0056
REGION1,DEMAGRELCS02,2020,0.0062
REGION1,DEMAGRELCS02,2021,0.0068
REGION1,DEMAGRELCS02,2022,0.0073
REGION1,DEMAGRELCS02,2023,0.0079
REGION1,DEMAGRELCS02,2024,0.0084
REGION1,DEMAGRELCS02,2025,0.009
REGION1,DEMAGRELCS02,2026,0.0095
REGION1,DEMAGRELCS02,2027,0.0101
REGION1,DEMAGRELCS02,2028,0.0106
REGION1,DEMAGRELCS02,2029,0.0112
REGION1,DEMAGRELCS02,2030,0.0117
REGION1,DEMAGRGSL,2016,0.0058
REGION1,DEMAGRGSL,2017,0.0063
REGION1,DEMAGRGSL,2018,0.0067
REGION1,DEMAGRGSL,2019,0.0071
REGION1,DEMAGRGSL,2020,0.0078
REGION1,DEMAGRGSL,2021,0.0085
REGION1,DEMAGRGSL,2022,0.0092
REGION1,DEMAGRGSL,2023,0.0099
REGION1,DEMAGRGSL,2024,0.0106
REGION1,DEMAGRGSL,2025,0.0113
REGION1,DEMAGRGSL,2026,0.012
REGION1,DEMAGRGSL,2027,0.0127
REGION1,DEMAGRGSL,2028,0.0134
REGION1,DEMAGRGSL,2029,0.0141
REGION1,DEMAGRGSL,2030,0.0147
REGION1,DEMAGRSURMRD,2016,0.0042
REGION1,DEMAGRSURMRD,2017,0.0046
REGION1,DEMAGRSURMRD,2018,0.0051
REGION1,DEMAGRSURMRD,2019,0.0055
REGION1,DEMAGRSURMRD,2020,0.006
REGION1,DEMAGRSURMRD,2021,0.0064
REGION1,DEMAGRSURMRD,2022,0.0069
REGION1,DEMAGRSURMRD,2023,0.0072
REGION1,DEMAGRSURMRD,2024,0.0077
REGION1,DEMAGRSURMRD,2025,0.008
REGION1,DEMAGRSURMRD,2026,0.0083
REGION1,DEMAGRSURMRD,2027,0.0086
REGION1,DEMAGRSURMRD,2028,0.0089
REGION1,DEMAGRSURMRD,2029,0.0092
REGION1,DEMAGRSURMRD,2030,0.0095
REGION1,DEMAGRSURNOC,2016,0.0022
REGION1,DEMAGRSURNOC,2017,0.0022
REGION1,DEMAGRSURNOC,2018,0.0021
REGION1,DEMAGRSURNOC,2019,0.002
REGION1,DEMAGRSURNOC,2020,0.0021
REGION1,DEMAGRSURNOC,2021,0.0022
REGION1,DEMAGRSURNOC,2022,0.0022
REGION1,DEMAGRSURNOC,2023,0.0023
REGION1,DEMAGRSURNOC,2024,0.0023
REGION1,DEMAGRSURNOC,2025,0.0023
REGION1,DEMAGRSURNOC,2026,0.0023
REGION1,DEMAGRSURNOC,2027,0.0023
REGION1,DEMAGRSURNOC,2028,0.0024
REGION1,DEMAGRSURNOC,2029,0.0024
REGION1,DEMAGRSURNOC,2030,0.0025
REGION1,DEMAGRSURNOE,2016,0.0002
REGION1,DEMAGRSURNOE,2017,0.0002
REGION1,DEMAGRSURNOE,2018,0.0002
REGION1,DEMAGRSURNOE,2019,0.0002
REGION1,DEMAGRSURNOE,2020,0.0001
REGION1,DEMAGRSURNOE,2021,0.0001
REGION1,DEMAGRSURNOE,2022,0.0001
REGION1,DEMAGRSURNOE,2023,0.0001
REGION1,DEMAGRSURNOE,2024,0.0001
REGION1,DEMAGRSURNOE,2025,0.0001
REGION1,DEMAGRSURNOE,2026,0.0001
REGION1,DEMAGRSURNOE,2027,0.0
REGION1,DEMAGRSURNOE,2028,0.0
REGION1,DEMAGRSURNOE,2029,0.0
REGION1,DEMAGRSURNOE,2030,0.0
REGION1,DEMAGRSURNOW,2016,0.0008
REGION1,DEMAGRSURNOW,2017,0.0008
REGION1,DEMAGRSURNOW,2018,0.0007
REGION1,DEMAGRSURNOW,2019,0.0007
REGION1,DEMAGRSURNOW,2020,0.0006
REGION1,DEMAGRSURNOW,2021,0.0006
REGION1,DEMAGRSURNOW,2022,0.0005
REGION1,DEMAGRSURNOW,2023,0.0004
REGION1,DEMAGRSURNOW,2024,0.0004
REGION1,DEMAGRSURNOW,2025,0.0003
REGION1,DEMAGRSURNOW,2026,0.0003
REGION1,DEMAGRSURNOW,2027,0.0002
REGION1,DEMAGRSURNOW,2028,0.0002
REGION1,DEMAGRSURNOW,2029,0.0001
REGION1,DEMAGRSURNOW,2030,0.0001
REGION1,DEMAGRSURRRD,2016,0.0002
REGION1,DEMAGRSURRRD,2017,0.0002
REGION1,DEMAGRSURRRD,2018,0.0002
REGION1,DEMAGRSURRRD,2019,0.0002
REGION1,DEMAGRSURRRD,2020,0.0001
REGION1,DEMAGRSURRRD,2021,0.0001
REGION1,DEMAGRSURRRD,2022,0.0001
REGION1,DEMAGRSURRRD,2023,0.0001
REGION1,DEMAGRSURRRD,2024,0.0001
REGION1,DEMAGRSURRRD,2025,0.0001
REGION1,DEMAGRSURRRD,2026,0.0001
REGION1,DEMAGRSURRRD,2027,0.0001
REGION1,DEMAGRSURRRD,2028,0.0001
REGION1,DEMAGRSURRRD,2029,0.0
