r,t,f,y,UseByTechnologyAnnual
REGION1,DEMAGRCOA,COA,2016,0.079
REGION1,DEMAGRCOA,COA,2017,0.085
REGION1,DEMAGRCOA,COA,2018,0.091
REGION1,DEMAGRCOA,COA,2019,0.096
REGION1,DEMAGRCOA,COA,2020,0.106
REGION1,DEMAGRCOA,COA,2021,0.115
REGION1,DEMAGRCOA,COA,2022,0.125
REGION1,DEMAGRCOA,COA,2023,0.134
REGION1,DEMAGRCOA,COA,2024,0.144
REGION1,DEMAGRCOA,COA,2025,0.153
REGION1,DEMAGRCOA,COA,2026,0.163
REGION1,DEMAGRCOA,COA,2027,0.172
REGION1,DEMAGRCOA,COA,2028,0.182
REGION1,DEMAGRCOA,COA,2029,0.191
REGION1,DEMAGRCOA,COA,2030,0.199
REGION1,DEMAGRDSL,DSL,2016,14.448
REGION1,DEMAGRDSL,DSL,2017,15.504
REGION1,DEMAGRDSL,DSL,2018,16.56
REGION1,DEMAGRDSL,DSL,2019,17.616
REGION1,DEMAGRDSL,DSL,2020,19.348
REGION1,DEMAGRDSL,DSL,2021,21.079
REGION1,DEMAGRDSL,DSL,2022,22.81
REGION1,DEMAGRDSL,DSL,2023,24.541
REGION1,DEMAGRDSL,DSL,2024,26.271
REGION1,DEMAGRDSL,DSL,2025,28.001
REGION1,DEMAGRDSL,DSL,2026,29.731
REGION1,DEMAGRDSL,DSL,2027,31.46
REGION1,DEMAGRDSL,DSL,2028,33.189
REGION1,DEMAGRDSL,DSL,2029,34.918
REGION1,DEMAGRDSL,DSL,2030,36.431
REGION1,DEMAGRELCC02,ELCC02,2016,0.8564
REGION1,DEMAGRELCC02,ELCC02,2017,0.919
REGION1,DEMAGRELCC02,ELCC02,2018,0.9816
REGION1,DEMAGRELCC02,ELCC02,2019,1.0442
REGION1,DEMAGRELCC02,ELCC02,2020,1.1468
REGION1,DEMAGRELCC02,ELCC02,2021,1.2495
REGION1,DEMAGRELCC02,ELCC02,2022,1.3521
REGION1,DEMAGRELCC02,ELCC02,2023,1.4547
REGION1,DEMAGRELCC02,ELCC02,2024,1.5572
REGION1,DEMAGRELCC02,ELCC02,2025,1.6598
REGION1,DEMAGRELCC02,ELCC02,2026,1.7623
REGION1,DEMAGRELCC02,ELCC02,2027,1.8648
REGION1,DEMAGRELCC02,ELCC02,2028,1.9673
REGION1,DEMAGRELCC02,ELCC02,2029,2.0698
REGION1,DEMAGRELCC02,ELCC02,2030,2.1594
REGION1,DEMAGRELCN02,ELCN02,2016,3.7844
REGION1,DEMAGRELCN02,ELCN02,2017,4.0611
REGION1,DEMAGRELCN02,ELCN02,2018,4.3377
REGION1,DEMAGRELCN02,ELCN02,2019,4.6142
